"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";409;377;7;793
"'10-19";913;1059;4;1976
"20-29";2271;2564;36;4871
"30-39";2246;2325;31;4602
"40-49";2407;2832;26;5265
"50-59";3261;3558;25;6844
"60-69";1924;1628;15;3567
"70-79";1506;1370;11;2887
"80-89";992;1483;1;2476
"90-99";142;455;4;601
"100+";1;9;0;10
"Unbekannt";7;13;0;20
"Gesamt";16079;17673;160;NA
