"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";4497;4163;0;183;8843
"'10-19";9443;8897;0;235;18575
"20-29";17064;15366;1;466;32897
"30-39";13512;12174;1;415;26102
"40-49";12444;13147;3;380;25974
"50-59";14815;14489;2;263;29569
"60-69";7427;6729;3;116;14275
"70-79";5022;5013;0;62;10097
"80-89";3299;5443;0;35;8777
"90-99";540;1798;0;11;2349
"100+";12;48;0;1;61
"Unbekannt";75;70;0;258;403
"Gesamt";88150;87337;10;2425;177922
