"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Todesfälle insgesamt"
"0-9";0;2;0;0;2
"'10-19";1;0;0;0;1
"20-29";8;4;0;0;12
"30-39";13;8;0;0;21
"40-49";52;24;0;0;76
"50-59";343;126;0;0;469
"60-69";804;358;0;5;1167
"70-79";2013;1192;1;14;3220
"80-89";2996;3314;2;43;6355
"90-99";820;1748;1;27;2596
"100+";6;40;0;0;46
"Unbekannt";0;1;0;0;1
"Gesamt";7056;6817;4;89;13966
