"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";11794;10924;1;526;23245
"'10-19";21464;21123;4;656;43247
"20-29";36941;34487;4;1256;72688
"30-39";31227;29627;8;1151;62013
"40-49";29121;31982;4;1072;62179
"50-59";35126;36140;6;830;72102
"60-69";18517;17283;3;386;36189
"70-79";12561;13561;6;261;26389
"80-89";9945;18034;18;311;28308
"90-99";1917;6647;5;100;8669
"100+";28;136;0;5;169
"Unbekannt";23;26;0;26;75
"Gesamt";208664;219970;59;6580;435273
