"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";8674;8065;0;380;17119
"'10-19";16389;15826;0;479;32694
"20-29";27495;25303;2;914;53714
"30-39";22677;21519;3;865;45064
"40-49";21197;23206;3;766;45172
"50-59";25408;25953;3;598;51962
"60-69";13096;12207;3;257;25563
"70-79";8953;9590;1;155;18699
"80-89";6748;12208;4;131;19091
"90-99";1321;4428;1;37;5787
"100+";34;109;0;7;150
"Unbekannt";119;134;0;52;305
"Gesamt";152111;158548;20;4641;315320
