"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";3741;24;88;0;134655;2778,21;125;92,83
"LK Altötting";4364;21;188;0;111516;3913,34;121;108,5
"LK Amberg-Sulzbach";3708;39;133;1;103049;3598,29;244;236,78
"LK Ansbach";5612;58;153;0;184591;3040,23;182;98,6
"LK Aschaffenburg";6200;22;189;1;174200;3559,13;147;84,39
"LK Augsburg";8248;27;179;1;253468;3254,06;209;82,46
"LK Bad Kissingen";2572;21;85;1;103235;2491,4;95;92,02
"LK Bad Tölz-Wolfratshausen";3762;31;61;0;127917;2940,97;105;82,08
"LK Bamberg";4013;20;125;0;147163;2726,91;83;56,4
"LK Bayreuth";3831;29;140;1;103664;3695,59;120;115,76
"LK Berchtesgadener Land";4762;9;98;0;105929;4495,46;117;110,45
"LK Cham";4851;88;130;1;127998;3789,9;357;278,91
"LK Coburg";3454;5;142;0;86747;3981,69;43;49,57
"LK Dachau";6275;57;128;0;154899;4051,03;259;167,21
"LK Deggendorf";4807;33;128;1;119478;4023,33;146;122,2
"LK Dillingen a.d.Donau";2665;12;101;0;96562;2759,88;44;45,57
"LK Dingolfing-Landau";3680;18;78;1;96683;3806,25;120;124,12
"LK Donau-Ries";3991;117;143;1;133783;2983,19;245;183,13
"LK Ebersberg";5061;26;170;0;143649;3523,17;119;82,84
"LK Eichstätt";3590;30;70;0;132881;2701,67;131;98,58
"LK Erding";5460;47;103;0;138182;3951,31;125;90,46
"LK Erlangen-Höchstadt";4058;47;115;2;137262;2956,39;164;119,48
"LK Forchheim";3755;34;100;0;116203;3231,41;109;93,8
"LK Freising";6192;28;114;0;180007;3439,87;199;110,55
"LK Freyung-Grafenau";3879;16;109;1;78362;4950,1;100;127,61
"LK Fürstenfeldbruck";7543;25;120;0;219311;3439,41;162;73,87
"LK Fürth";4133;16;184;2;117853;3506,91;107;90,79
"LK Garmisch-Partenkirchen";2749;16;80;0;88424;3108,88;108;122,14
"LK Günzburg";4631;30;95;0;127027;3645,68;119;93,68
"LK Haßberge";2648;19;70;0;84384;3138,04;109;129,17
"LK Hof";4468;35;117;0;94801;4713,03;242;255,27
"LK Kelheim";3666;24;83;0;123058;2979,08;216;175,53
"LK Kitzingen";2317;16;81;0;91155;2541,82;46;50,46
"LK Kronach";2689;31;78;0;66743;4028,89;162;242,72
"LK Kulmbach";3025;58;97;0;71566;4226,87;190;265,49
"LK Landsberg a.Lech";3151;4;58;0;120302;2619,24;52;43,22
"LK Landshut";5570;0;154;0;159895;3483,54;192;120,08
"LK Lichtenfels";2443;7;65;0;66776;3658,5;79;118,31
"LK Lindau";2589;23;57;0;81981;3158,05;99;120,76
"LK Main-Spessart";3637;26;187;0;126158;2882,89;142;112,56
"LK Miesbach";3387;19;60;0;100010;3386,66;66;65,99
"LK Miltenberg";4534;10;114;0;128743;3521,74;108;83,89
"LK Mühldorf a.Inn";5030;34;130;1;115872;4341;123;106,15
"LK München";12056;32;273;0;350473;3439,92;276;78,75
"LK Neu-Ulm";5129;24;105;0;175204;2927,44;78;44,52
"LK Neuburg-Schrobenhausen";2977;34;64;0;97303;3059,52;104;106,88
"LK Neumarkt i.d.OPf.";4501;19;111;0;134573;3344,65;135;100,32
"LK Neustadt a.d.Aisch-Bad Windsheim";3022;16;85;1;101014;2991,66;78;77,22
"LK Neustadt a.d.Waldnaab";4480;20;152;0;94450;4743,25;93;98,46
"LK Nürnberger Land";5373;31;159;0;170792;3145,93;183;107,15
"LK Oberallgäu";4145;19;58;0;156008;2656,92;158;101,28
"LK Ostallgäu";4477;34;109;1;141182;3171,08;215;152,29
"LK Passau";10791;55;339;1;192656;5601,18;194;100,7
"LK Pfaffenhofen a.d.Ilm";4154;23;148;0;128227;3239,57;171;133,36
"LK Regen";4547;23;153;0;77410;5873,92;87;112,39
"LK Regensburg";5565;77;162;0;194070;2867,52;253;130,37
