"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";10666;9904;1;493;21064
"'10-19";19890;19563;3;598;40054
"20-29";34203;31951;5;1185;67344
"30-39";28652;27400;9;1104;57165
"40-49";26727;29519;4;1012;57262
"50-59";32200;33359;6;767;66332
"60-69";17017;15887;4;366;33274
"70-79";11678;12554;6;249;24487
"80-89";9293;16993;18;276;26580
"90-99";1812;6326;5;100;8243
"100+";44;153;0;7;204
"Unbekannt";120;127;0;48;295
"Gesamt";192302;203736;61;6205;402304
