"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";3634;3397;0;156;7187
"'10-19";7893;7418;0;202;15513
"20-29";14619;13171;0;373;28163
"30-39";11506;10259;1;345;22111
"40-49";10500;11168;1;275;21944
"50-59";12537;12219;1;200;24957
"60-69";6283;5599;3;85;11970
"70-79";4277;4229;0;53;8559
"80-89";2725;4382;0;29;7136
"90-99";439;1393;0;7;1839
"100+";9;36;0;1;46
"Unbekannt";85;83;0;119;287
"Gesamt";74507;73354;6;1845;149712
