"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";4273;34;89;0;134655;3173,29;183;135,9
"LK Altötting";5068;46;199;1;111516;4544,64;258;231,36
"LK Amberg-Sulzbach";4335;19;146;0;103049;4206,74;151;146,53
"LK Ansbach";6866;103;160;0;184591;3719,57;411;222,65
"LK Aschaffenburg";7004;26;195;0;174200;4020,67;236;135,48
"LK Augsburg";9441;101;190;2;253468;3724,73;473;186,61
"LK Bad Kissingen";2949;38;92;0;103235;2856,59;152;147,24
"LK Bad Tölz-Wolfratshausen";4228;37;64;0;127917;3305,27;190;148,53
"LK Bamberg";4506;19;128;0;147163;3061,91;187;127,07
"LK Bayreuth";4436;57;149;0;103664;4279,21;197;190,04
"LK Berchtesgadener Land";5222;40;99;0;105929;4929,72;183;172,76
"LK Cham";6108;46;158;1;127998;4771,95;328;256,25
"LK Coburg";3825;51;144;0;86747;4409,37;156;179,83
"LK Dachau";7114;30;134;0;154899;4592,67;231;149,13
"LK Deggendorf";5773;42;133;0;119478;4831,85;370;309,68
"LK Dillingen a.d.Donau";2991;20;102;0;96562;3097,49;115;119,09
"LK Dingolfing-Landau";4565;65;80;0;96683;4721,62;361;373,39
"LK Donau-Ries";4812;53;146;0;133783;3596,87;355;265,36
"LK Ebersberg";5516;23;172;0;143649;3839,92;172;119,74
"LK Eichstätt";4310;35;75;0;132881;3243,5;216;162,55
"LK Erding";6064;31;105;0;138182;4388,42;234;169,34
"LK Erlangen-Höchstadt";4599;32;118;0;137262;3350,53;149;108,55
"LK Forchheim";4178;19;104;0;116203;3595,43;120;103,27
"LK Freising";7195;59;119;0;180007;3997,07;362;201,1
"LK Freyung-Grafenau";4282;36;115;1;78362;5464,38;141;179,93
"LK Fürstenfeldbruck";8436;77;129;0;219311;3846,59;319;145,46
"LK Fürth";4565;37;191;0;117853;3873,47;177;150,19
