"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22425;20785;1;722;43933
"'10-19";35646;34249;5;894;70794
"20-29";56322;51328;4;1465;109119
"30-39";48709;45590;5;1365;95669
"40-49";45465;47752;4;1239;94460
"50-59";52977;51736;6;970;105689
"60-69";26870;25069;2;427;52368
"70-79";16475;17672;2;260;34409
"80-89";11692;20794;12;289;32787
"90-99";2151;7350;2;85;9588
"100+";22;151;0;4;177
"Unbekannt";22;21;0;6;49
"Gesamt";318776;322497;43;7726;649042
