"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22340;20702;1;746;43789
"'10-19";35452;34053;5;932;70442
"20-29";56023;51096;4;1507;108630
"30-39";48523;45454;5;1390;95372
"40-49";45338;47608;4;1263;94213
"50-59";52889;51633;6;1003;105531
"60-69";26834;25024;2;434;52294
"70-79";16456;17653;2;265;34376
"80-89";11679;20777;12;293;32761
"90-99";2150;7346;2;86;9584
"100+";24;153;0;4;181
"Unbekannt";23;22;0;8;53
"Gesamt";317731;321521;43;7931;647226
