"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";4133;30;89;0;134655;3069,33;149;110,65
"LK Altötting";4877;38;195;0;111516;4373,36;237;212,53
"LK Amberg-Sulzbach";4225;18;145;0;103049;4099,99;131;127,12
"LK Ansbach";6494;7;158;0;184591;3518,05;300;162,52
"LK Aschaffenburg";6821;42;194;0;174200;3915,61;231;132,61
"LK Augsburg";9089;63;185;0;253468;3585,86;336;132,56
"LK Bad Kissingen";2829;23;91;2;103235;2740,35;96;92,99
"LK Bad Tölz-Wolfratshausen";4071;11;64;0;127917;3182,53;138;107,88
"LK Bamberg";4338;0;127;0;147163;2947,75;132;89,7
"LK Bayreuth";4286;23;148;0;103664;4134,51;151;145,66
"LK Berchtesgadener Land";5090;23;99;0;105929;4805,11;146;137,83
"LK Cham";5865;46;149;2;127998;4582,1;358;279,69
"LK Coburg";3706;15;143;0;86747;4272,19;119;137,18
"LK Dachau";6908;0;132;0;154899;4459,68;166;107,17
"LK Deggendorf";5545;76;133;0;119478;4641,02;289;241,89
"LK Dillingen a.d.Donau";2910;20;102;0;96562;3013,61;100;103,56
"LK Dingolfing-Landau";4274;33;80;0;96683;4420,63;254;262,71
"LK Donau-Ries";4530;5;145;0;133783;3386,08;185;138,28
"LK Ebersberg";5385;13;172;0;143649;3748,72;127;88,41
"LK Eichstätt";4176;36;72;0;132881;3142,66;207;155,78
"LK Erding";5857;0;105;0;138182;4238,61;141;102,04
"LK Erlangen-Höchstadt";4478;16;118;0;137262;3262,37;150;109,28
"LK Forchheim";4095;15;103;0;116203;3524,01;132;113,59
"LK Freising";6906;73;119;0;180007;3836,52;324;179,99
"LK Freyung-Grafenau";4185;20;113;0;78362;5340,6;121;154,41
"LK Fürstenfeldbruck";8202;30;129;0;219311;3739,89;272;124,02
"LK Fürth";4475;27;188;0;117853;3797,1;155;131,52
"LK Garmisch-Partenkirchen";3063;29;83;0;88424;3463,99;125;141,36
"LK Günzburg";5025;40;96;0;127027;3955,85;161;126,74
"LK Haßberge";3101;31;76;3;84384;3674,87;219;259,53
"LK Hof";5322;37;124;1;94801;5613,86;411;433,54
"LK Kelheim";4512;39;89;0;123058;3666,56;226;183,65
"LK Kitzingen";2658;12;80;0;91155;2915,91;126;138,23
"LK Kronach";3217;23;84;0;66743;4819,98;199;298,16
"LK Kulmbach";3530;24;103;1;71566;4932,51;160;223,57
"LK Landsberg a.Lech";3454;1;62;0;120302;2871,11;103;85,62
"LK Landshut";6204;39;156;0;159895;3880,05;194;121,33
"LK Lichtenfels";2775;13;69;0;66776;4155,68;128;191,69
"LK Lindau";2899;6;60;0;81981;3536,19;113;137,84
"LK Main-Spessart";3936;9;190;0;126158;3119,9;104;82,44
"LK Miesbach";3651;11;64;0;100010;3650,63;115;114,99
"LK Miltenberg";4826;22;117;0;128743;3748,55;98;76,12
"LK Mühldorf a.Inn";5615;65;136;0;115872;4845,86;297;256,32
"LK München";12956;59;279;0;350473;3696,72;330;94,16
"LK Neu-Ulm";5605;32;105;0;175204;3199,13;223;127,28
"LK Neuburg-Schrobenhausen";3407;31;65;0;97303;3501,43;158;162,38
"LK Neumarkt i.d.OPf.";5053;31;115;1;134573;3754,84;141;104,78
"LK Neustadt a.d.Aisch-Bad Windsheim";3321;17;92;0;101014;3287,66;119;117,81
"LK Neustadt a.d.Waldnaab";4806;18;156;1;94450;5088,41;123;130,23
"LK Nürnberger Land";6038;27;163;0;170792;3535,29;256;149,89
"LK Oberallgäu";4823;20;60;0;156008;3091,51;236;151,27
"LK Ostallgäu";5646;59;111;0;141182;3999,09;376;266,32
"LK Passau";11535;85;349;0;192656;5987,36;317;164,54
"LK Pfaffenhofen a.d.Ilm";4677;17;151;0;128227;3647,44;197;153,63
"LK Regen";4906;30;154;0;77410;6337,68;143;184,73
"LK Regensburg";6537;88;171;0;194070;3368,37;354;182,41
"LK Rhön-Grabfeld";2822;14;75;0;79635;3543,67;187;234,82
"LK Rosenheim";12148;39;436;0;261330;4648,53;299;114,41
"LK Roth";4860;16;164;0;126749;3834,35;147;115,98
"LK Rottal-Inn";5969;36;160;0;121502;4912,68;180;148,15
"LK Schwandorf";7238;40;138;0;147872;4894,77;280;189,35
"LK Schweinfurt";3830;5;116;1;115445;3317,6;136;117,81
"LK Starnberg";4388;21;108;0;136667;3210,72;113;82,68
"LK Straubing-Bogen";4370;45;127;0;101120;4321,6;197;194,82
"LK Tirschenreuth";5065;9;252;0;72046;7030,23;81;112,43
"LK Traunstein";9045;61;199;0;177319;5100,98;399;225,02
"LK Unterallgäu";5345;39;126;1;145341;3677,56;263;180,95
"LK Weilheim-Schongau";4018;2;60;0;135478;2965,8;160;118,1
"LK Weißenburg-Gunzenhausen";3186;24;106;0;94734;3363,1;165;174,17
"LK Wunsiedel i.Fichtelgebirge";4636;19;185;0;72655;6380,84;99;136,26
