"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22564;20921;1;720;44206
"'10-19";36104;34641;5;892;71642
"20-29";56857;51756;4;1464;110081
"30-39";49032;45871;5;1357;96265
"40-49";45656;47954;4;1237;94851
"50-59";53182;51878;6;969;106035
"60-69";26925;25127;2;426;52480
"70-79";16484;17694;2;259;34439
"80-89";11708;20822;12;289;32831
"90-99";2152;7359;2;85;9598
"100+";22;151;0;4;177
"Unbekannt";22;21;0;6;49
"Gesamt";320708;324195;43;7708;652654
