"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";638;603;4;1245
"'10-19";1290;1492;4;2786
"20-29";3562;3560;23;7145
"30-39";3110;3140;16;6266
"40-49";3118;3835;8;6961
"50-59";4249;4798;2;9049
"60-69";2521;2162;2;4685
"70-79";2058;1968;1;4027
"80-89";1515;2420;1;3936
"90-99";245;801;1;1047
"100+";2;15;0;17
"Unbekannt";8;6;0;14
"Gesamt";22316;24800;62;47178
