"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";4985;19;92;0;134655;3702,05;138;102,48
"LK Altötting";5800;25;207;1;111516;5201,05;173;155,13
"LK Amberg-Sulzbach";4676;14;154;0;103049;4537,65;77;74,72
"LK Ansbach";7976;37;171;0;184591;4320,9;211;114,31
"LK Aschaffenburg";7737;26;200;3;174200;4441,45;172;98,74
"LK Augsburg";10832;45;209;0;253468;4273,52;326;128,62
"LK Bad Kissingen";3440;23;97;1;103235;3332,2;111;107,52
"LK Bad Tölz-Wolfratshausen";4822;31;73;0;127917;3769,63;119;93,03
"LK Bamberg";5217;38;135;0;147163;3545,05;172;116,88
"LK Bayreuth";4807;12;156;0;103664;4637,1;67;64,63
"LK Berchtesgadener Land";5618;8;99;0;105929;5303,55;62;58,53
"LK Cham";6903;19;172;0;127998;5393,05;171;133,6
"LK Coburg";4496;27;155;2;86747;5182,89;254;292,81
"LK Dachau";7978;19;136;0;154899;5150,45;156;100,71
"LK Deggendorf";6596;35;147;0;119478;5520,68;185;154,84
"LK Dillingen a.d.Donau";3426;26;108;0;96562;3547,98;104;107,7
"LK Dingolfing-Landau";5398;0;87;0;96683;5583,19;168;173,76
"LK Donau-Ries";5600;18;156;1;133783;4185,88;145;108,38
"LK Ebersberg";6101;24;175;0;143649;4247,16;167;116,26
"LK Eichstätt";4854;9;81;0;132881;3652,89;125;94,07
"LK Erding";6716;9;112;0;138182;4860,26;130;94,08
"LK Erlangen-Höchstadt";5159;10;124;0;137262;3758,51;103;75,04
"LK Forchheim";4576;5;110;0;116203;3937,94;102;87,78
"LK Freising";7994;16;123;0;180007;4440,94;183;101,66
"LK Freyung-Grafenau";4722;10;119;0;78362;6025,88;97;123,78
"LK Fürstenfeldbruck";9387;34;134;0;219311;4280,22;217;98,95
"LK Fürth";5057;9;202;0;117853;4290,94;127;107,76
"LK Garmisch-Partenkirchen";3441;14;87;0;88424;3891,48;81;91,6
"LK Günzburg";6232;30;103;0;127027;4906,04;257;202,32
"LK Haßberge";3886;6;86;0;84384;4605,14;95;112,58
"LK Hof";6175;4;149;2;94801;6513,64;108;113,92
"LK Kelheim";5600;21;105;0;123058;4550,7;243;197,47
"LK Kitzingen";3021;5;83;0;91155;3314,14;62;68,02
"LK Kronach";3945;19;89;0;66743;5910,73;127;190,28
"LK Kulmbach";3986;12;112;0;71566;5569,68;69;96,41
"LK Landsberg a.Lech";3940;9;65;0;120302;3275,09;85;70,66
"LK Landshut";7651;41;166;0;159895;4785,02;290;181,37
"LK Lichtenfels";3352;8;80;0;66776;5019,77;107;160,24
"LK Lindau";3228;10;62;0;81981;3937,5;67;81,73
"LK Main-Spessart";4502;8;208;1;126158;3568,54;88;69,75
"LK Miesbach";4228;15;77;0;100010;4227,58;137;136,99
"LK Miltenberg";5611;19;122;0;128743;4358,3;157;121,95
"LK Mühldorf a.Inn";6771;18;150;1;115872;5843,52;145;125,14
"LK München";14746;24;287;0;350473;4207,46;259;73,9
"LK Neu-Ulm";6964;52;112;0;175204;3974,8;318;181,5
"LK Neuburg-Schrobenhausen";3959;9;74;0;97303;4068,73;94;96,61
"LK Neumarkt i.d.OPf.";6105;12;119;0;134573;4536,57;177;131,53
"LK Neustadt a.d.Aisch-Bad Windsheim";4186;11;102;0;101014;4143,98;108;106,92
