"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";704;662;1;1367
"'10-19";1374;1544;2;2920
"20-29";3809;3706;4;7519
"30-39";3319;3250;3;6572
"40-49";3230;3913;1;7144
"50-59";4345;4910;1;9256
"60-69";2563;2216;0;4779
"70-79";2084;1997;1;4082
"80-89";1528;2467;0;3995
"90-99";248;812;1;1061
"100+";0;12;0;12
"Unbekannt";3;2;0;5
"Gesamt";23207;25491;14;48712
