"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";603;573;5;1181
"'10-19";1250;1458;9;2717
"20-29";3391;3469;29;6889
"30-39";3008;3078;19;6105
"40-49";3061;3755;12;6828
"50-59";4184;4708;3;8895
"60-69";2480;2110;5;4595
"70-79";2030;1931;2;3963
"80-89";1494;2361;2;3857
"90-99";241;784;2;1027
"100+";2;15;0;17
"Unbekannt";4;6;0;10
"Gesamt";21748;24248;88;46084
