"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";7407;6823;1;331;14562
"'10-19";14356;13746;0;416;28518
"20-29";24043;21881;2;762;46688
"30-39";19597;18286;2;710;38595
"40-49";18394;19721;3;634;38752
"50-59";21718;21839;2;458;44017
"60-69";11071;10172;3;198;21444
"70-79";7492;7869;0;115;15476
"80-89";5382;9690;1;84;15157
"90-99";1039;3500;0;28;4567
"100+";25;89;0;4;118
"Unbekannt";95;91;0;37;223
"Gesamt";130619;133707;14;3777;268117
