"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";19738;18228;1;776;38743
"'10-19";32124;30995;5;943;64067
"20-29";51963;47556;5;1545;101069
"30-39";45077;42066;8;1422;88573
"40-49";42093;44365;6;1314;87778
"50-59";49541;48624;7;1047;99219
"60-69";25309;23593;3;455;49360
"70-79";15825;16942;6;295;33068
"80-89";11383;20242;18;328;31971
"90-99";2101;7180;5;107;9393
"100+";24;150;0;6;180
"Unbekannt";25;28;0;24;77
"Gesamt";295203;299969;64;8262;603498
