"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";1332;41;21;0;134655;989,19;193;143,33
"LK Altötting";1360;14;57;0;111516;1219,56;252;225,98
"LK Amberg-Sulzbach";930;40;55;0;103049;902,48;206;199,9
"LK Ansbach";1619;43;32;0;184591;877,07;335;181,48
"LK Aschaffenburg";1698;128;44;-1;174200;974,74;281;161,31
"LK Augsburg";2724;138;20;0;253468;1074,69;688;271,43
"LK Bad Kissingen";538;14;18;0;103235;521,14;78;75,56
"LK Bad Tölz-Wolfratshausen";1275;29;13;0;127917;996,74;233;182,15
"LK Bamberg";1200;32;40;0;147163;815,42;209;142,02
"LK Bayreuth";794;17;29;0;103664;765,94;86;82,96
"LK Berchtesgadener Land";1562;24;28;0;105929;1474,57;146;137,83
"LK Cham";1273;33;22;0;127998;994,55;217;169,53
"LK Coburg";790;10;31;0;86747;910,69;144;166
"LK Dachau";2355;66;45;4;154899;1520,35;328;211,75
"LK Deggendorf";1071;43;22;1;119478;896,4;173;144,8
"LK Dillingen a.d.Donau";925;52;35;0;96562;957,93;210;217,48
"LK Dingolfing-Landau";1425;24;11;0;96683;1473,89;139;143,77
"LK Donau-Ries";1386;64;30;-1;133783;1036,01;264;197,33
"LK Ebersberg";1663;43;12;0;143649;1157,68;221;153,85
"LK Eichstätt";1001;42;23;0;132881;753,31;203;152,77
"LK Erding";1710;51;13;1;138182;1237,5;269;194,67
"LK Erlangen-Höchstadt";953;84;11;0;137262;694,29;217;158,09
"LK Forchheim";792;18;4;0;116203;681,57;169;145,44
"LK Freising";2415;83;49;0;180007;1341,61;362;201,1
"LK Freyung-Grafenau";817;55;17;0;78362;1042,6;271;345,83
"LK Fürstenfeldbruck";3046;67;43;4;219311;1388,9;403;183,76
"LK Fürth";1313;51;71;1;117853;1114,1;217;184,13
"LK Garmisch-Partenkirchen";833;21;21;0;88424;942,05;112;126,66
"LK Günzburg";1400;83;13;1;127027;1102,13;234;184,21
"LK Haßberge";598;33;7;0;84384;708,67;134;158,8
"LK Hof";921;41;35;0;94801;971,51;155;163,5
"LK Kelheim";1186;26;36;0;123058;963,77;232;188,53
"LK Kitzingen";713;16;6;0;91155;782,18;100;109,7
"LK Kronach";501;23;5;1;66743;750,64;115;172,3
"LK Kulmbach";630;7;11;0;71566;880,31;41;57,29
"LK Landsberg a.Lech";1142;23;13;1;120302;949,28;185;153,78
"LK Landshut";1694;50;37;0;159895;1059,45;252;157,6
"LK Lichtenfels";846;25;24;0;66776;1266,92;138;206,66
"LK Lindau";853;36;9;0;81981;1040,48;161;196,39
"LK Main-Spessart";611;20;8;0;126158;484,31;113;89,57
"LK Miesbach";1345;29;11;0;100010;1344,87;156;155,98
"LK Miltenberg";1254;27;21;2;128743;974,03;220;170,88
"LK Mühldorf a.Inn";1632;49;27;0;115872;1408,45;288;248,55
"LK München";4367;117;99;1;350473;1246,03;584;166,63
"LK Neu-Ulm";1725;78;29;0;175204;984,57;254;144,97
"LK Neuburg-Schrobenhausen";1033;22;28;1;97303;1061,63;140;143,88
"LK Neumarkt i.d.OPf.";1221;23;34;2;134573;907,31;241;179,08
"LK Neustadt a.d.Aisch-Bad Windsheim";670;15;7;0;101014;663,27;166;164,33
"LK Neustadt a.d.Waldnaab";1493;24;75;0;94450;1580,73;138;146,11
"LK Nürnberger Land";1475;41;47;0;170792;863,62;217;127,06
"LK Oberallgäu";1160;43;11;0;156008;743,55;269;172,43
"LK Ostallgäu";1604;36;42;0;141182;1136,12;207;146,62
"LK Passau";2328;110;38;0;192656;1208,37;414;214,89
"LK Pfaffenhofen a.d.Ilm";1287;71;26;0;128227;1003,69;258;201,21
"LK Regen";706;29;13;0;77410;912,03;141;182,15
"LK Regensburg";1718;104;18;0;194070;885,25;413;212,81
"LK Rhön-Grabfeld";590;15;11;0;79635;740,88;96;120,55
"LK Rosenheim";4984;137;210;1;261330;1907,17;696;266,33
"LK Roth";932;38;9;0;126749;735,31;205;161,74
"LK Rottal-Inn";2116;23;60;0;121502;1741,54;210;172,84
"LK Schwandorf";1325;52;24;0;147872;896,05;280;189,35
"LK Schweinfurt";1580;30;34;1;115445;1368,62;183;158,52
"LK Starnberg";1479;22;15;0;136667;1082,19;185;135,37
"LK Straubing-Bogen";1089;23;31;0;101120;1076,94;174;172,07
