"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";3120;2910;0;101;6131
"'10-19";6857;6451;0;157;13465
"20-29";12935;11692;0;272;24899
"30-39";10038;8960;1;228;19227
"40-49";9159;9840;1;204;19204
"50-59";10944;10710;1;155;21810
"60-69";5520;4900;2;64;10486
"70-79";3821;3768;0;42;7631
"80-89";2424;3869;0;20;6313
"90-99";393;1231;0;5;1629
"100+";6;30;0;0;36
"Unbekannt";72;66;0;53;191
"Gesamt";65289;64427;5;1301;131022
