"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1093;1012;30;2135
"'10-19";2289;2234;22;4545
"20-29";5196;4817;46;10059
"30-39";4098;3978;53;8129
"40-49";3950;4656;34;8640
"50-59";4835;5316;23;10174
"60-69";2732;2358;6;5096
"70-79";2170;2058;4;4232
"80-89";1568;2528;1;4097
"90-99";254;830;0;1084
"100+";2;14;0;16
"Unbekannt";5;11;18;34
"Gesamt";28192;29812;237;58241
