"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Todesfälle insgesamt"
"0-9";0;2;0;0;2
"'10-19";1;0;0;0;1
"20-29";7;4;0;0;11
"30-39";12;8;0;0;20
"40-49";49;22;0;0;71
"50-59";322;116;0;0;438
"60-69";768;339;0;5;1112
"70-79";1939;1150;1;14;3104
"80-89";2936;3257;2;41;6236
"90-99";809;1724;1;27;2561
"100+";6;42;0;0;48
"Unbekannt";0;2;0;0;2
"Gesamt";6849;6666;4;87;13606
