"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";276;0;20;0;133596;206,59;12;8,98
"LK Altötting";573;4;27;0;111210;515,24;38;34,17
"LK Amberg-Sulzbach";438;0;36;0;103109;424,79;31;30,07
"LK Ansbach";493;0;10;0;183949;268,01;50;27,18
"LK Aschaffenburg";475;2;24;1;174208;272,66;30;17,22
"LK Augsburg";360;6;6;0;251534;143,12;18;7,16
"LK Bad Kissingen";225;3;14;0;103218;217,99;13;12,59
"LK Bad Tölz-Wolfratshausen";398;0;7;0;127227;312,83;16;12,58
"LK Bamberg";385;4;33;1;147086;261,75;19;12,92
"LK Bayreuth";378;2;8;0;103656;364,67;23;22,19
"LK Berchtesgadener Land";268;0;12;0;105722;253,5;18;17,03
"LK Cham";385;0;14;0;127882;301,06;5;3,91
"LK Coburg";185;9;7;0;86906;212,87;31;35,67
"LK Dachau";812;0;18;0;153884;527,67;56;36,39
"LK Deggendorf";255;2;9;0;119326;213,7;27;22,63
"LK Dillingen a.d.Donau";226;0;10;0;96021;235,37;28;29,16
"LK Dingolfing-Landau";189;0;3;0;96217;196,43;12;12,47
"LK Donau-Ries";326;1;21;0;133496;244,2;35;26,22
"LK Ebersberg";436;0;4;0;142142;306,74;42;29,55
"LK Eichstätt";258;0;15;0;132341;194,95;26;19,65
"LK Erding";570;4;8;0;137660;414,06;23;16,71
"LK Erlangen-Höchstadt";200;1;6;0;136271;146,77;11;8,07
"LK Forchheim";195;0;3;0;116099;167,96;1;0,86
"LK Freising";923;0;33;0;179116;515,31;28;15,63
"LK Freyung-Grafenau";170;0;9;0;78355;216,96;15;19,14
"LK Fürstenfeldbruck";760;0;29;0;219320;346,53;37;16,87
"LK Fürth";451;0;46;0;117387;384,2;22;18,74
"LK Garmisch-Partenkirchen";259;1;13;0;88467;292,76;18;20,35
"LK Günzburg";210;0;2;0;125747;167;6;4,77
"LK Haßberge";146;0;4;0;84599;172,58;10;11,82
"LK Hof";377;1;22;1;95311;395,55;46;48,26
"LK Kelheim";426;1;31;0;122258;348,44;25;20,45
"LK Kitzingen";145;0;3;2;90909;159,5;43;47,3
