"Meldewoche";"Altersgruppen.Inz";"Inzidenz";"Anzahl"
25;"'10-14";1,90929461978133;11
25;"00-04";1,87811062071556;12
25;"15-19";3,20007680184324;20
25;"20-34";3,42735989670097;86
25;"35-59";1,94120102107174;90
25;"60-79";1,06500809406151;29
25;"80+";1,56344144731383;13
25;"Gesamt";2,04194567860674;268
26;"'05-09";2,73656304784709;16
26;"'10-14";3,47144476323879;20
26;"00-04";1,7216014023226;11
26;"15-19";1,2800307207373;8
26;"20-34";4,54324451423151;114
26;"35-59";2,76081922996869;128
26;"60-79";1,68932318368378;46
26;"80+";2,52555926104541;21
26;"Gesamt";2,77338890676438;364
27;"'05-09";3,59173900029931;21
27;"'10-14";2,77715581059103;16
27;"00-04";4,06923967821705;26
27;"15-19";3,04007296175108;19
27;"20-34";6,8945728154566;173
27;"35-59";3,472592937695;161
27;"60-79";1,28535459628114;35
27;"80+";1,08238254044803;9
27;"Gesamt";3,50483213492202;460
28;"'05-09";4,61795014324197;27
28;"'10-14";4,68645043037236;27
28;"00-04";6,72989639089742;43
28;"15-19";4,96011904285703;31
28;"20-34";5,81854121998071;146
28;"35-59";3,6882819400363;171
28;"60-79";1,61587434961057;44
28;"80+";1,32291199388093;11
28;"Gesamt";3,80960014665437;500
29;"'05-09";4,27587976226109;25
29;"'10-14";2,77715581059103;16
29;"00-04";3,75622124143112;24
29;"15-19";6,24014976359433;39
29;"20-34";6,97427885956592;175
29;"35-59";3,81769534144108;177
29;"60-79";1,8362208518302;50
29;"80+";2,16476508089607;18
29;"Gesamt";3,99246095369378;524
30;"'05-09";4,27587976226109;25
30;"'10-14";5,90145609750594;34
30;"00-04";4,22574889661001;27
30;"15-19";5,92014208341;37
30;"20-34";9,0067829843537;226
30;"35-59";6,53537677094151;303
30;"60-79";1,8362208518302;50
30;"80+";1,32291199388093;11
30;"Gesamt";5,44010900942244;714
31;"'05-09";2,73656304784709;16
31;"'10-14";4,51287819221043;26
31;"00-04";3,59971202303816;23
31;"15-19";5,92014208341;37
31;"20-34";8,76766485202573;220
31;"35-59";6,34125666883434;294
31;"60-79";1,57914993257397;43
31;"80+";2,88635344119476;24
31;"Gesamt";5,20391380032987;683
32;"'05-09";2,73656304784709;16
32;"'10-14";3,47144476323879;20
32;"00-04";3,28669358625223;21
32;"15-19";7,52018048433162;47
32;"20-34";11,0791401311961;278
32;"35-59";5,80203416298108;269
32;"60-79";1,61587434961057;44
32;"80+";0,962117813731586;8
32;"Gesamt";5,36391700648935;704
33;"'05-09";5,64416128618463;33
33;"'10-14";8,15789519361115;47
33;"00-04";5,00829498857483;32
33;"15-19";18,8804531308751;118
33;"20-34";21,4409258654084;538
33;"35-59";8,92952469692999;414
33;"60-79";2,49726035848907;68
33;"80+";2,16476508089607;18
33;"Gesamt";9,66114597191548;1268
34;"'05-09";14,8800615726686;87
34;"'10-14";21,3493852939185;123
34;"00-04";7,35593326446928;47
34;"15-19";41,6009984239622;260
34;"20-34";32,6794780848232;820
34;"35-59";13,9766473517165;648
34;"60-79";3,01140219700152;82
34;"80+";2,16476508089607;18
34;"Gesamt";15,893651811842;2086
35;"'05-09";16,590413477573;97
35;"'10-14";24,8208300571573;143
35;"00-04";9,23404388518484;59
35;"15-19";39,8409561829484;249
35;"20-34";32,5200659966045;816
35;"35-59";14,5158698575698;673
35;"60-79";3,04812661403813;83
35;"80+";3,12688289462765;26
35;"Gesamt";16,3660422300272;2148
36;"'05-09";17,7876598110061;104
36;"'10-14";23,0851076755379;133
36;"00-04";10,7991360691145;69
36;"15-19";34,7208332999992;217
36;"20-34";32,5599190186592;817
36;"35-59";16,8021732823876;779
36;"60-79";3,63571728662379;99
36;"80+";2,16476508089607;18
36;"Gesamt";17,0365318558383;2236
37;"'05-09";16,0773079061017;94
37;"'10-14";23,4322521518618;135
37;"00-04";11,7381913794723;75
37;"15-19";44,8010752258054;280
37;"20-34";37,421987709328;939
37;"35-59";18,8943566050982;876
37;"60-79";7,3816078243574;201
37;"80+";6,01323633582241;50
37;"Gesamt";20,2289767787347;2655
38;"'05-09";17,6166246205157;103
38;"'10-14";20,6550963412708;119
38;"00-04";13,1467743450089;84
38;"15-19";37,6009024216581;235
38;"20-34";42,8818517308167;1076
38;"35-59";21,1590911296819;981
38;"60-79";9,84214376580986;268
38;"80+";7,57667778313624;63
38;"Gesamt";22,3318760596879;2931
39;"'05-09";14,5379911916877;85
39;"'10-14";14,406495767441;83
39;"00-04";11,2686637242934;72
39;"15-19";23,5205644935478;147
39;"20-34";31,0056511585273;778
39;"35-59";17,7727737929235;824
39;"60-79";8,29971825027249;226
39;"80+";6,85508942283755;57
39;"Gesamt";17,3336806672774;2275
40;"'05-09";9,57797066746483;56
40;"'10-14";13,3650623384693;77
40;"00-04";7,35593326446928;47
40;"15-19";27,8406681760362;174
40;"20-34";31,1252102246913;781
40;"35-59";17,9668938950306;833
40;"60-79";10,1726635191393;277
40;"80+";6,975354149554;58
40;"Gesamt";17,5851142769566;2308
41;"'05-09";12,1434985248215;71
41;"'10-14";25,1679745334812;145
41;"00-04";14,3988480921526;92
41;"15-19";44,6410713857133;279
