"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";3692;18;88;0;134655;2741,82;107;79,46
"LK Altötting";4300;21;187;1;111516;3855,95;106;95,05
"LK Amberg-Sulzbach";3622;27;130;2;103049;3514,83;224;217,37
"LK Ansbach";5492;19;151;1;184591;2975,23;173;93,72
"LK Aschaffenburg";6131;30;187;-1;174200;3519,52;136;78,07
"LK Augsburg";8165;49;178;0;253468;3221,31;202;79,69
"LK Bad Kissingen";2519;20;82;0;103235;2440,06;81;78,46
"LK Bad Tölz-Wolfratshausen";3712;10;59;0;127917;2901,88;79;61,76
"LK Bamberg";3961;2;124;1;147163;2691,57;64;43,49
"LK Bayreuth";3766;29;138;3;103664;3632,89;116;111,9
"LK Berchtesgadener Land";4726;25;97;1;105929;4461,48;162;152,93
"LK Cham";4653;54;126;1;127998;3635,21;349;272,66
"LK Coburg";3433;5;142;0;86747;3957,49;50;57,64
"LK Dachau";6115;34;127;0;154899;3947,73;167;107,81
"LK Deggendorf";4739;21;126;1;119478;3966,42;133;111,32
"LK Dillingen a.d.Donau";2647;6;101;1;96562;2741,24;39;40,39
"LK Dingolfing-Landau";3622;15;76;0;96683;3746,26;113;116,88
"LK Donau-Ries";3874;71;142;0;133783;2895,73;174;130,06
"LK Ebersberg";5012;17;170;0;143649;3489,06;119;82,84
"LK Eichstätt";3524;24;70;0;132881;2652;91;68,48
"LK Erding";5395;11;103;0;138182;3904,27;107;77,43
"LK Erlangen-Höchstadt";3968;32;113;0;137262;2890,82;147;107,09
"LK Forchheim";3687;8;99;1;116203;3172,9;115;98,96
"LK Freising";6100;32;114;1;180007;3388,76;199;110,55
"LK Freyung-Grafenau";3824;9;108;0;78362;4879,92;92;117,4
"LK Fürstenfeldbruck";7467;17;120;0;219311;3404,75;158;72,04
"LK Fürth";4067;0;182;0;117853;3450,91;112;95,03
"LK Garmisch-Partenkirchen";2696;15;80;0;88424;3048,95;85;96,13
"LK Günzburg";4567;23;95;0;127027;3595,3;104;81,87
"LK Haßberge";2597;18;70;0;84384;3077,6;89;105,47
"LK Hof";4354;43;116;0;94801;4592,78;193;203,58
"LK Kelheim";3553;48;83;0;123058;2887,26;153;124,33
"LK Kitzingen";2284;3;81;0;91155;2505,62;39;42,78
"LK Kronach";2607;26;78;1;66743;3906,03;153;229,24
"LK Kulmbach";2939;44;97;0;71566;4106,7;222;310,2
"LK Landsberg a.Lech";3129;14;58;0;120302;2600,95;49;40,73
"LK Landshut";5510;27;153;0;159895;3446,01;216;135,09
"LK Lichtenfels";2402;10;64;0;66776;3597,1;71;106,33
"LK Lindau";2544;20;57;0;81981;3103,16;83;101,24
"LK Main-Spessart";3570;16;186;0;126158;2829,78;149;118,11
"LK Miesbach";3351;9;60;0;100010;3350,66;52;51,99
"LK Miltenberg";4494;16;113;0;128743;3490,68;99;76,9
"LK Mühldorf a.Inn";4966;23;128;0;115872;4285,76;118;101,84
"LK München";11901;38;272;0;350473;3395,7;246;70,19
"LK Neu-Ulm";5091;5;105;0;175204;2905,76;62;35,39
"LK Neuburg-Schrobenhausen";2911;22;64;0;97303;2991,69;96;98,66
"LK Neumarkt i.d.OPf.";4431;21;109;0;134573;3292,64;112;83,23
"LK Neustadt a.d.Aisch-Bad Windsheim";2974;11;84;0;101014;2944,15;54;53,46
"LK Neustadt a.d.Waldnaab";4435;15;151;1;94450;4695,61;118;124,93
"LK Nürnberger Land";5261;17;158;0;170792;3080,36;151;88,41
"LK Oberallgäu";4087;22;57;0;156008;2619,74;175;112,17
"LK Ostallgäu";4368;36;106;0;141182;3093,88;222;157,24
"LK Passau";10691;24;338;0;192656;5549,27;218;113,16
"LK Pfaffenhofen a.d.Ilm";4067;22;147;0;128227;3171,72;139;108,4
"LK Regen";4497;15;153;0;77410;5809,33;73;94,3
"LK Regensburg";5440;36;161;3;194070;2803,11;209;107,69
"LK Rhön-Grabfeld";2313;19;68;0;79635;2904,5;73;91,67
"LK Rosenheim";11345;34;425;0;261330;4341,25;281;107,53
"LK Roth";4267;18;161;0;126749;3366,5;143;112,82
"LK Rottal-Inn";5503;20;157;0;121502;4529,14;95;78,19
"LK Schwandorf";6037;113;122;0;147872;4082,58;442;298,91
"LK Schweinfurt";3524;11;113;0;115445;3052,54;68;58,9
"LK Starnberg";3945;14;101;1;136667;2886,58;99;72,44
"LK Straubing-Bogen";3836;17;123;0;101120;3793,51;168;166,14
"LK Tirschenreuth";4742;28;244;1;72046;6581,91;129;179,05
"LK Traunstein";8028;37;194;0;177319;4527,43;257;144,94
"LK Unterallgäu";4510;47;117;0;145341;3103,05;202;138,98
"LK Weilheim-Schongau";3546;19;55;1;135478;2617,4;109;80,46
"LK Weißenburg-Gunzenhausen";2737;20;105;0;94734;2889,14;69;72,84
"LK Wunsiedel i.Fichtelgebirge";4209;27;179;2;72655;5793,13;154;211,96
"LK Würzburg";3240;20;60;0;162302;1996,28;99;61
"SK Amberg";1201;14;18;0;42207;2845,5;109;258,25
"SK Ansbach";1358;2;41;0;41798;3248,96;24;57,42
"SK Aschaffenburg";2442;10;95;1;71002;3439,34;60;84,5
"SK Augsburg";12783;55;346;0;296582;4310,11;325;109,58
"SK Bamberg";2280;6;97;0;77373;2946,76;42;54,28
"SK Bayreuth";2510;20;98;1;74783;3356,38;67;89,59
"SK Coburg";1685;3;86;0;41072;4102,55;28;68,17
"SK Erlangen";3010;13;88;0;112528;2674,89;72;63,98
"SK Fürth";5304;1;181;0;128497;4127,72;157;122,18
"SK Hof";2680;31;82;1;45825;5848,34;125;272,78
"SK Ingolstadt";4296;24;92;0;137392;3126,82;116;84,43
"SK Kaufbeuren";1569;11;48;0;44398;3533,94;45;101,36
"SK Kempten";1687;8;34;0;69151;2439,59;60;86,77
"SK Landshut";2922;14;96;0;73411;3980,33;106;144,39
"SK Memmingen";1295;5;20;1;44100;2936,51;22;49,89
"SK München";56709;210;1099;1;1484226;3820,78;1119;75,39
"SK Nürnberg";25392;74;822;0;518370;4898,43;686;132,34
"SK Passau";2923;18;108;0;52803;5535,67;89;168,55
"SK Regensburg";4855;26;65;0;153094;3171,25;255;166,56
"SK Rosenheim";3151;12;53;0;63551;4958,22;122;191,97
"SK Schwabach";1669;7;100;0;40981;4072,62;40;97,61
"SK Schweinfurt";1682;26;61;0;53426;3148,28;92;172,2
"SK Straubing";1669;9;77;0;47791;3492,29;57;119,27
"SK Weiden i.d.OPf.";2335;7;70;1;42743;5462,88;59;138,03
"SK Würzburg";3210;15;100;0;127934;2509,11;85;66,44
