"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";442;11;20;0;133596;330,85;15;11,23
"LK Altötting";705;1;55;0;111210;633,94;27;24,28
"LK Amberg-Sulzbach";509;0;54;0;103109;493,65;3;2,91
"LK Ansbach";630;0;28;0;183949;342,49;9;4,89
"LK Aschaffenburg";619;1;42;0;174208;355,32;9;5,17
"LK Augsburg";579;3;11;0;251534;230,19;52;20,67
"LK Bad Kissingen";278;0;18;0;103218;269,33;4;3,88
"LK Bad Tölz-Wolfratshausen";571;1;10;0;127227;448,8;26;20,44
"LK Bamberg";449;0;36;0;147086;305,26;3;2,04
"LK Bayreuth";440;0;28;0;103656;424,48;3;2,89
"LK Berchtesgadener Land";389;0;25;0;105722;367,95;9;8,51
"LK Cham";468;5;21;0;127882;365,96;16;12,51
"LK Coburg";426;0;30;0;86906;490,18;0;0
"LK Dachau";1112;23;33;0;153884;722,62;56;36,39
"LK Deggendorf";395;5;15;0;119326;331,03;17;14,25
"LK Dillingen a.d.Donau";333;0;29;0;96021;346,8;29;30,2
"LK Dingolfing-Landau";854;2;10;0;96217;887,58;11;11,43
"LK Donau-Ries";403;0;23;0;133496;301,88;6;4,49
"LK Ebersberg";637;5;5;0;142142;448,14;37;26,03
"LK Eichstätt";365;1;20;0;132341;275,8;20;15,11
"LK Erding";776;0;11;0;137660;563,71;18;13,08
"LK Erlangen-Höchstadt";322;1;11;0;136271;236,29;4;2,94
"LK Forchheim";254;4;4;0;116099;218,78;15;12,92
"LK Freising";1131;0;46;0;179116;631,43;43;24,01
"LK Freyung-Grafenau";202;0;12;0;78355;257,8;4;5,1
"LK Fürstenfeldbruck";1078;4;36;0;219320;491,52;38;17,33
"LK Fürth";535;3;58;0;117387;455,76;11;9,37
"LK Garmisch-Partenkirchen";330;1;18;0;88467;373,02;15;16,96
"LK Günzburg";311;3;4;0;125747;247,32;17;13,52
"LK Haßberge";181;0;6;0;84599;213,95;1;1,18
"LK Hof";502;0;32;0;95311;526,7;5;5,25
"LK Kelheim";595;4;35;0;122258;486,68;33;26,99
"LK Kitzingen";222;1;4;0;90909;244,2;10;11
"LK Kronach";178;0;3;0;67135;265,14;1;1,49
"LK Kulmbach";258;0;11;0;71845;359,11;1;1,39
"LK Landsberg a.Lech";416;1;10;0;120071;346,46;14;11,66
"LK Landshut";787;9;31;0;158698;495,91;27;17,01
"LK Lichtenfels";336;0;17;0;66838;502,71;2;2,99
"LK Lindau";267;0;8;0;81669;326,93;1;1,22
"LK Main-Spessart";186;0;6;0;126365;147,19;7;5,54
"LK Miesbach";664;1;11;0;99726;665,82;16;16,04
"LK Miltenberg";357;1;5;0;128756;277,27;9;6,99
"LK Mühldorf a.Inn";569;0;27;0;115250;493,71;11;9,54
"LK München";1697;8;96;0;348871;486,43;63;18,06
"LK Neu-Ulm";577;0;26;0;174200;331,23;35;20,09
"LK Neuburg-Schrobenhausen";379;2;18;0;96680;392,01;19;19,65
"LK Neumarkt i.d.OPf.";463;11;17;0;133561;346,66;36;26,95
"LK Neustadt a.d.Aisch-Bad Windsheim";271;-1;6;0;100364;270,02;2;1,99
"LK Neustadt a.d.Waldnaab";855;0;73;0;94352;906,18;5;5,3
"LK Nürnberger Land";692;1;44;0;170365;406,19;8;4,7
"LK Oberallgäu";234;0;7;0;155362;150,62;9;5,79
"LK Ostallgäu";581;3;39;0;140316;414,07;24;17,1
"LK Passau";671;7;31;0;192043;349,4;13;6,77
"LK Pfaffenhofen a.d.Ilm";428;2;21;0;127151;336,61;17;13,37
"LK Regen";208;0;12;0;77656;267,85;3;3,86
"LK Regensburg";572;2;15;0;193572;295,5;33;17,05
"LK Rhön-Grabfeld";212;0;8;0;79690;266,03;3;3,76
"LK Rosenheim";2419;-1;199;0;260983;926,88;40;15,33
"LK Roth";324;0;7;0;126958;255,2;7;5,51
"LK Rottal-Inn";791;6;49;0;120659;655,57;21;17,4
"LK Schwandorf";556;5;20;0;147189;377,75;22;14,95
"LK Schweinfurt";572;0;25;0;115106;496,93;4;3,48
"LK Starnberg";673;5;13;0;136092;494,52;27;19,84
"LK Straubing-Bogen";581;1;29;0;100649;577,25;4;3,97
"LK Tirschenreuth";1150;0;138;0;72504;1586,12;5;6,9
"LK Traunstein";1379;4;88;0;177089;778,7;32;18,07
"LK Unterallgäu";323;0;14;0;144041;224,24;11;7,64
"LK Weilheim-Schongau";392;2;3;0;135348;289,62;10;7,39
"LK Weißenburg-Gunzenhausen";394;5;25;0;94393;417,4;24;25,43
"LK Wunsiedel i.Fichtelgebirge";683;0;41;0;73178;933,34;0;0
"LK Würzburg";483;0;7;0;161834;298,45;9;5,56
"SK Amberg";102;0;4;0;41970;243,03;0;0
"SK Ansbach";162;0;8;0;41847;387,12;1;2,39
"SK Aschaffenburg";149;2;1;0;70527;211,27;5;7,09
"SK Augsburg";757;0;16;0;295135;256,49;79;26,77
"SK Bamberg";223;0;22;0;77592;287,4;2;2,58
"SK Bayreuth";227;0;11;0;74657;304,06;5;6,7
"SK Coburg";132;0;4;0;41249;320,01;1;2,42
