"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";20540;18957;1;796;40294
"'10-19";33148;31919;5;960;66032
"20-29";53312;48685;5;1579;103581
"30-39";46190;43166;8;1445;90809
"40-49";43224;45491;6;1340;90061
"50-59";50743;49708;7;1056;101514
"60-69";25893;24138;3;460;50494
"70-79";16064;17193;6;292;33555
"80-89";11500;20387;18;330;32235
"90-99";2118;7224;5;109;9456
"100+";26;151;0;6;183
"Unbekannt";30;36;0;11;77
"Gesamt";302788;307055;64;8384;618291
