"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";398;2;20;0;133596;297,91;4;2,99
"LK Altötting";608;1;53;0;111210;546,71;1;0,9
"LK Amberg-Sulzbach";496;0;54;0;103109;481,04;0;0
"LK Ansbach";606;1;28;0;183949;329,44;0;0
"LK Aschaffenburg";559;0;42;0;174208;320,88;4;2,3
"LK Augsburg";417;0;10;0;251534;165,78;4;1,59
"LK Bad Kissingen";263;0;18;0;103218;254,8;6;5,81
"LK Bad Tölz-Wolfratshausen";509;1;10;0;127227;400,07;16;12,58
"LK Bamberg";435;0;36;0;147086;295,75;1;0,68
"LK Bayreuth";430;0;28;0;103656;414,83;1;0,96
"LK Berchtesgadener Land";346;4;25;0;105722;327,27;10;9,46
"LK Cham";431;0;21;0;127882;337,03;0;0
"LK Coburg";399;0;29;0;86906;459,12;7;8,05
"LK Dachau";957;0;30;0;153884;621,9;13;8,45
"LK Deggendorf";339;0;15;0;119326;284,1;6;5,03
"LK Dillingen a.d.Donau";272;1;29;0;96021;283,27;5;5,21
"LK Dingolfing-Landau";285;4;10;0;96217;296,21;16;16,63
"LK Donau-Ries";369;2;23;0;133496;276,41;8;5,99
"LK Ebersberg";528;2;5;0;142142;371,46;3;2,11
"LK Eichstätt";308;3;20;0;132341;232,73;3;2,27
"LK Erding";686;3;11;0;137660;498,33;5;3,63
"LK Erlangen-Höchstadt";264;0;11;0;136271;193,73;6;4,4
"LK Forchheim";208;0;4;0;116099;179,16;0;0
"LK Freising";999;2;46;0;179116;557,74;16;8,93
"LK Freyung-Grafenau";196;0;12;0;78355;250,14;0;0
"LK Fürstenfeldbruck";959;2;36;0;219320;437,26;11;5,02
"LK Fürth";503;0;58;0;117387;428,5;5;4,26
"LK Garmisch-Partenkirchen";297;0;18;0;88467;335,72;0;0
"LK Günzburg";245;5;4;0;125747;194,84;5;3,98
"LK Haßberge";172;0;6;0;84599;203,31;1;1,18
"LK Hof";443;2;32;0;95311;464,79;16;16,79
"LK Kelheim";483;1;35;0;122258;395,07;8;6,54
"LK Kitzingen";195;0;3;0;90909;214,5;0;0
"LK Kronach";173;0;3;0;67135;257,69;2;2,98
"LK Kulmbach";246;0;11;0;71845;342,4;0;0
