"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";5127;-7;97;1;134655;3807,51;27;20,05
"LK Altötting";5990;11;208;0;111516;5371,43;72;64,56
"LK Amberg-Sulzbach";4780;0;157;0;103049;4638,57;24;23,29
"LK Ansbach";8202;10;176;1;184591;4443,34;59;31,96
"LK Aschaffenburg";7914;2;209;1;174200;4543,05;71;40,76
"LK Augsburg";11243;14;219;2;253468;4435,67;102;40,24
"LK Bad Kissingen";3584;4;102;1;103235;3471,69;41;39,72
"LK Bad Tölz-Wolfratshausen";4981;5;78;0;127917;3893,93;40;31,27
"LK Bamberg";5450;1;139;0;147163;3703,38;59;40,09
"LK Bayreuth";4909;2;159;0;103664;4735,49;23;22,19
"LK Berchtesgadener Land";5847;11;100;1;105929;5519,73;76;71,75
"LK Cham";7091;1;181;1;127998;5539,93;43;33,59
"LK Coburg";4764;3;159;0;86747;5491,83;74;85,31
"LK Dachau";8142;3;140;1;154899;5256,33;31;20,01
"LK Deggendorf";6889;4;150;1;119478;5765,92;81;67,79
"LK Dillingen a.d.Donau";3658;6;111;0;96562;3788,24;86;89,06
"LK Dingolfing-Landau";5692;12;93;0;96683;5887,28;70;72,4
"LK Donau-Ries";5773;-10;159;0;133783;4315,2;41;30,65
"LK Ebersberg";6278;2;176;0;143649;4370,38;46;32,02
"LK Eichstätt";4981;0;82;0;132881;3748,47;42;31,61
"LK Erding";6867;1;116;0;138182;4969,53;38;27,5
"LK Erlangen-Höchstadt";5293;11;128;0;137262;3856,13;46;33,51
"LK Forchheim";4690;2;113;0;116203;4036,04;30;25,82
"LK Freising";8048;8;128;1;180007;4470,94;40;22,22
"LK Freyung-Grafenau";4872;2;127;0;78362;6217,3;50;63,81
"LK Fürstenfeldbruck";9575;-1;137;0;219311;4365,95;44;20,06
"LK Fürth";5250;5;206;0;117853;4454,7;52;44,12
"LK Garmisch-Partenkirchen";3534;0;87;0;88424;3996,65;29;32,8
"LK Günzburg";6642;14;107;0;127027;5228,81;129;101,55
"LK Haßberge";3998;0;86;0;84384;4737,86;41;48,59
"LK Hof";6302;1;153;0;94801;6647,61;43;45,36
"LK Kelheim";5873;4;106;0;123058;4772,55;51;41,44
"LK Kitzingen";3150;1;86;0;91155;3455,65;53;58,14
"LK Kronach";4100;12;93;0;66743;6142,97;57;85,4
"LK Kulmbach";4053;0;116;0;71566;5663,3;13;18,17
"LK Landsberg a.Lech";4043;2;68;1;120302;3360,71;37;30,76
"LK Landshut";7914;5;169;0;159895;4949,5;77;48,16
"LK Lichtenfels";3484;3;82;0;66776;5217,44;44;65,89
"LK Lindau";3302;1;62;0;81981;4027,76;22;26,84
"LK Main-Spessart";4659;7;212;0;126158;3692,99;57;45,18
"LK Miesbach";4468;1;81;0;100010;4467,55;62;61,99
"LK Miltenberg";5857;1;127;0;128743;4549,37;53;41,17
"LK Mühldorf a.Inn";6911;7;153;0;115872;5964,34;26;22,44
"LK München";15185;6;287;-1;350473;4332,72;98;27,96
"LK Neu-Ulm";7391;7;115;-1;175204;4218,51;146;83,33
"LK Neuburg-Schrobenhausen";4086;4;74;0;97303;4199,25;35;35,97
"LK Neumarkt i.d.OPf.";6393;3;124;0;134573;4750,58;79;58,7
"LK Neustadt a.d.Aisch-Bad Windsheim";4336;0;106;0;101014;4292,47;35;34,65
"LK Neustadt a.d.Waldnaab";5206;0;187;23;94450;5511,91;20;21,18
"LK Nürnberger Land";7282;2;175;0;170792;4263,67;88;51,52
"LK Oberallgäu";5787;10;85;0;156008;3709,43;102;65,38
"LK Ostallgäu";7051;2;126;0;141182;4994,26;67;47,46
"LK Passau";12852;5;362;0;192656;6670,96;54;28,03
"LK Pfaffenhofen a.d.Ilm";5578;1;158;0;128227;4350,1;39;30,41
"LK Regen";5498;7;160;0;77410;7102,44;29;37,46
"LK Regensburg";8086;5;188;0;194070;4166,54;133;68,53
"LK Rhön-Grabfeld";3494;4;86;0;79635;4387,52;29;36,42
"LK Rosenheim";13689;5;452;0;261330;5238,2;111;42,48
"LK Roth";5638;5;173;1;126749;4448,16;38;29,98
"LK Rottal-Inn";7419;14;177;0;121502;6106,07;89;73,25
"LK Schwandorf";8305;-1;155;0;147872;5616,34;63;42,6
"LK Schweinfurt";5007;5;131;0;115445;4337,13;88;76,23
"LK Starnberg";5047;-1;112;0;136667;3692,92;31;22,68
"LK Straubing-Bogen";5311;5;140;0;101120;5252,18;48;47,47
"LK Tirschenreuth";5308;1;265;0;72046;7367,52;7;9,72
"LK Traunstein";10883;11;214;0;177319;6137,53;85;47,94
"LK Unterallgäu";7046;20;150;2;145341;4847,91;118;81,19
"LK Weilheim-Schongau";4962;7;77;0;135478;3662,59;55;40,6
"LK Weißenburg-Gunzenhausen";3881;6;114;0;94734;4096,73;44;46,45
"LK Wunsiedel i.Fichtelgebirge";5004;3;197;0;72655;6887,34;17;23,4
"LK Würzburg";4332;0;71;0;162302;2669,1;37;22,8
"SK Amberg";1721;0;23;0;42207;4077,52;4;9,48
"SK Ansbach";1801;5;44;0;41798;4308,82;21;50,24
"SK Aschaffenburg";3369;5;111;0;71002;4744,94;32;45,07
"SK Augsburg";17555;13;397;1;296582;5919,11;152;51,25
"SK Bamberg";3029;0;106;0;77373;3914,8;24;31,02
"SK Bayreuth";3455;2;108;0;74783;4620,03;15;20,06
"SK Coburg";2352;0;91;1;41072;5726,53;39;94,96
"SK Erlangen";3912;2;93;0;112528;3476,47;41;36,44
"SK Fürth";7569;18;215;0;128497;5890,41;101;78,6
"SK Hof";3930;2;116;0;45825;8576,1;27;58,92
"SK Ingolstadt";5974;-2;106;1;137392;4348,14;90;65,51
"SK Kaufbeuren";2343;0;54;0;44398;5277,26;41;92,35
"SK Kempten";3200;9;46;0;69151;4627,55;61;88,21
"SK Landshut";4017;3;108;0;73411;5471,93;40;54,49
"SK Memmingen";2185;3;24;0;44100;4954,65;74;167,8
"SK München";72112;87;1234;1;1484226;4858,56;574;38,67
"SK Nürnberg";33776;47;941;3;518370;6515,81;496;95,68
"SK Passau";3380;1;112;0;52803;6401,15;13;24,62
"SK Regensburg";6850;0;81;0;153094;4474,38;50;32,66
"SK Rosenheim";3878;3;60;0;63551;6102,19;30;47,21
"SK Schwabach";2116;0;104;0;40981;5163,37;10;24,4
"SK Schweinfurt";3006;0;87;0;53426;5626,47;50;93,59
"SK Straubing";2364;6;85;0;47791;4946,54;36;75,33
"SK Weiden i.d.OPf.";2689;0;97;22;42743;6291,09;2;4,68
"SK Würzburg";4414;2;119;2;127934;3450,22;53;41,43
