"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";5176;2;100;0;134655;3843,9;21;15,6
"LK Altötting";6047;0;210;0;111516;5422,54;15;13,45
"LK Amberg-Sulzbach";4829;1;157;0;103049;4686,12;11;10,67
"LK Ansbach";8298;4;182;0;184591;4495,34;38;20,59
"LK Aschaffenburg";7979;5;211;0;174200;4580,37;31;17,8
"LK Augsburg";11376;3;225;0;253468;4488,14;54;21,3
"LK Bad Kissingen";3631;2;103;0;103235;3517,22;13;12,59
"LK Bad Tölz-Wolfratshausen";5050;4;78;0;127917;3947,87;22;17,2
"LK Bamberg";5549;4;141;0;147163;3770,65;23;15,63
"LK Bayreuth";4924;0;161;0;103664;4749,96;1;0,96
"LK Berchtesgadener Land";5966;20;102;0;105929;5632,07;31;29,26
"LK Cham";7110;0;182;0;127998;5554,77;6;4,69
"LK Coburg";4868;4;160;0;86747;5611,72;28;32,28
"LK Dachau";8205;2;141;0;154899;5297;18;11,62
"LK Deggendorf";6961;4;157;0;119478;5826,18;17;14,23
"LK Dillingen a.d.Donau";3754;9;114;0;96562;3887,66;28;29
"LK Dingolfing-Landau";5775;7;96;0;96683;5973,13;27;27,93
"LK Donau-Ries";5946;28;161;0;133783;4444,51;74;55,31
"LK Ebersberg";6335;8;179;0;143649;4410,06;38;26,45
"LK Eichstätt";5037;7;82;0;132881;3790,61;21;15,8
"LK Erding";6943;6;118;0;138182;5024,53;49;35,46
"LK Erlangen-Höchstadt";5387;4;129;0;137262;3924,61;23;16,76
"LK Forchheim";4754;7;113;0;116203;4091,12;30;25,82
"LK Freising";8086;3;130;0;180007;4492,05;14;7,78
"LK Freyung-Grafenau";4907;3;128;0;78362;6261,96;11;14,04
"LK Fürstenfeldbruck";9694;7;140;0;219311;4420,21;43;19,61
"LK Fürth";5328;3;208;1;117853;4520,89;18;15,27
"LK Garmisch-Partenkirchen";3613;1;87;0;88424;4085,99;27;30,53
"LK Günzburg";6897;24;110;0;127027;5429,55;70;55,11
"LK Haßberge";4052;9;87;0;84384;4801,86;20;23,7
"LK Hof";6385;3;155;0;94801;6735,16;23;24,26
"LK Kelheim";5918;3;107;0;123058;4809,11;10;8,13
"LK Kitzingen";3272;14;86;0;91155;3589,49;42;46,08
"LK Kronach";4193;0;94;0;66743;6282,31;29;43,45
"LK Kulmbach";4075;0;117;0;71566;5694,04;5;6,99
"LK Landsberg a.Lech";4081;3;70;0;120302;3392,3;10;8,31
"LK Landshut";8029;11;173;0;159895;5021,42;53;33,15
"LK Lichtenfels";3534;7;83;0;66776;5292,32;19;28,45
"LK Lindau";3381;9;63;0;81981;4124,13;48;58,55
"LK Main-Spessart";4723;5;215;0;126158;3743,72;17;13,48
"LK Miesbach";4536;3;82;0;100010;4535,55;15;15
"LK Miltenberg";5955;4;129;1;128743;4625,49;37;28,74
"LK Mühldorf a.Inn";6949;0;153;0;115872;5997,13;20;17,26
"LK München";15261;8;291;0;350473;4354,4;46;13,13
"LK Neu-Ulm";7645;28;116;0;175204;4363,48;89;50,8
"LK Neuburg-Schrobenhausen";4151;10;78;0;97303;4266,06;29;29,8
