"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22451;20808;1;720;43980
"'10-19";35712;34312;5;891;70920
"20-29";56390;51391;4;1461;109246
"30-39";48763;45632;5;1362;95762
"40-49";45496;47784;4;1237;94521
"50-59";53012;51761;6;968;105747
"60-69";26877;25085;2;426;52390
"70-79";16478;17676;2;261;34417
"80-89";11694;20802;12;289;32797
"90-99";2151;7353;2;85;9591
"100+";22;151;0;4;177
"Unbekannt";22;21;0;6;49
"Gesamt";319068;322776;43;7710;649597
