"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";404;3;20;0;133596;302,4;8;5,99
"LK Altötting";623;0;53;0;111210;560,2;16;14,39
"LK Amberg-Sulzbach";496;0;54;0;103109;481,04;0;0
"LK Ansbach";608;0;28;0;183949;330,53;2;1,09
"LK Aschaffenburg";577;2;42;0;174208;331,21;5;2,87
"LK Augsburg";429;4;11;1;251534;170,55;9;3,58
"LK Bad Kissingen";263;0;18;0;103218;254,8;0;0
"LK Bad Tölz-Wolfratshausen";516;1;10;0;127227;405,57;8;6,29
"LK Bamberg";435;0;36;0;147086;295,75;0;0
"LK Bayreuth";430;0;28;0;103656;414,83;0;0
"LK Berchtesgadener Land";352;2;25;0;105722;332,95;10;9,46
"LK Cham";431;0;21;0;127882;337,03;0;0
"LK Coburg";404;2;29;0;86906;464,87;5;5,75
"LK Dachau";968;0;30;0;153884;629,05;11;7,15
"LK Deggendorf";340;0;15;0;119326;284,93;1;0,84
"LK Dillingen a.d.Donau";273;0;29;0;96021;284,31;2;2,08
"LK Dingolfing-Landau";465;4;10;0;96217;483,28;184;191,23
"LK Donau-Ries";371;0;23;0;133496;277,91;4;3
"LK Ebersberg";534;3;5;0;142142;375,68;8;5,63
"LK Eichstätt";314;0;20;0;132341;237,27;9;6,8
"LK Erding";699;4;11;0;137660;507,77;15;10,9
"LK Erlangen-Höchstadt";265;0;11;0;136271;194,47;1;0,73
"LK Forchheim";209;1;4;0;116099;180,02;1;0,86
"LK Freising";1012;2;46;0;179116;565;15;8,37
"LK Freyung-Grafenau";196;0;12;0;78355;250,14;0;0
"LK Fürstenfeldbruck";963;1;36;0;219320;439,08;3;1,37
"LK Fürth";505;0;58;0;117387;430,2;2;1,7
"LK Garmisch-Partenkirchen";299;0;18;0;88467;337,98;2;2,26
"LK Günzburg";249;1;4;0;125747;198,02;9;7,16
