"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";650;609;3;1262
"'10-19";1311;1499;3;2813
"20-29";3601;3588;14;7203
"30-39";3153;3154;10;6317
"40-49";3134;3836;6;6976
"50-59";4272;4826;1;9099
"60-69";2521;2179;0;4700
"70-79";2063;1971;1;4035
"80-89";1517;2446;1;3964
"90-99";246;807;1;1054
"100+";2;15;1;18
"Unbekannt";7;4;0;11
"Gesamt";22477;24934;41;47452
