"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";635;602;4;1241
"'10-19";1289;1487;4;2780
"20-29";3553;3551;23;7127
"30-39";3103;3141;16;6260
"40-49";3115;3828;9;6952
"50-59";4242;4796;2;9040
"60-69";2517;2158;2;4677
"70-79";2057;1967;1;4025
"80-89";1514;2420;1;3935
"90-99";245;801;1;1047
"100+";2;15;0;17
"Unbekannt";8;6;0;14
"Gesamt";22280;24772;63;47115
