"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22106;20535;2;813;43456
"'10-19";35235;33823;6;957;70021
"20-29";55786;50875;4;1556;108221
"30-39";48313;45277;8;1435;95033
"40-49";45177;47437;4;1300;93918
"50-59";52746;51485;6;1045;105282
"60-69";26745;24969;2;453;52169
"70-79";16439;17627;6;276;34348
"80-89";11658;20742;17;310;32727
"90-99";2148;7331;5;97;9581
"100+";24;152;0;4;180
"Unbekannt";26;25;0;9;60
"Gesamt";316403;320278;60;8255;644996
