"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";12674;11735;1;550;24960
"'10-19";22503;22149;4;686;45342
"20-29";38699;36001;4;1282;75986
"30-39";32790;30970;8;1176;64944
"40-49";30601;33349;4;1094;65048
"50-59";36816;37544;6;862;75228
"60-69";19342;17989;3;392;37726
"70-79";12983;13954;6;264;27207
"80-89";10152;18344;18;308;28822
"90-99";1947;6721;5;103;8776
"100+";33;137;0;5;175
"Unbekannt";30;31;0;25;86
"Gesamt";218570;228924;59;6747;454300
