"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";11999;11105;1;533;23638
"'10-19";21712;21361;4;671;43748
"20-29";37370;34847;4;1268;73489
"30-39";31553;29962;8;1161;62684
"40-49";29465;32299;4;1075;62843
"50-59";35515;36471;6;842;72834
"60-69";18723;17441;3;389;36556
"70-79";12671;13660;6;258;26595
"80-89";10000;18132;18;306;28456
"90-99";1927;6669;5;99;8700
"100+";30;136;0;4;170
"Unbekannt";25;27;0;24;76
"Gesamt";210990;222110;59;6630;439789
