"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";5179;-1;101;0;134655;3846,13;2;1,49
"LK Altötting";6045;0;210;0;111516;5420,75;2;1,79
"LK Amberg-Sulzbach";4832;0;160;0;103049;4689,03;0;0
"LK Ansbach";8405;1;198;0;184591;4553,31;8;4,33
"LK Aschaffenburg";8014;0;212;0;174200;4600,46;10;5,74
"LK Augsburg";11440;1;227;0;253468;4513,39;13;5,13
"LK Bad Kissingen";3642;2;104;0;103235;3527,87;2;1,94
"LK Bad Tölz-Wolfratshausen";5071;1;78;0;127917;3964,29;8;6,25
"LK Bamberg";5614;2;145;0;147163;3814,82;14;9,51
"LK Bayreuth";4931;0;163;0;103664;4756,71;2;1,93
"LK Berchtesgadener Land";6014;2;102;0;105929;5677,39;6;5,66
"LK Cham";7133;0;182;0;127998;5572,74;5;3,91
"LK Coburg";4889;0;161;0;86747;5635,93;1;1,15
"LK Dachau";8241;1;143;0;154899;5320,24;12;7,75
"LK Deggendorf";6988;0;160;0;119478;5848,78;0;0
"LK Dillingen a.d.Donau";3774;0;115;0;96562;3908,37;4;4,14
"LK Dingolfing-Landau";5814;1;98;0;96683;6013,47;4;4,14
"LK Donau-Ries";5991;0;165;0;133783;4478,15;7;5,23
"LK Ebersberg";6364;0;180;0;143649;4430,24;4;2,78
"LK Eichstätt";5071;3;85;0;132881;3816,2;10;7,53
"LK Erding";6970;0;118;0;138182;5044,07;3;2,17
"LK Erlangen-Höchstadt";5416;3;130;0;137262;3945,74;13;9,47
"LK Forchheim";4789;2;113;0;116203;4121,24;5;4,3
"LK Freising";8175;2;130;0;180007;4541,49;14;7,78
"LK Freyung-Grafenau";4914;1;128;0;78362;6270,9;1;1,28
"LK Fürstenfeldbruck";9721;0;140;0;219311;4432,52;2;0,91
"LK Fürth";5362;4;208;0;117853;4549,74;11;9,33
"LK Garmisch-Partenkirchen";3648;1;87;0;88424;4125,58;6;6,79
"LK Günzburg";6959;1;110;0;127027;5478,36;8;6,3
"LK Haßberge";4070;0;87;0;84384;4823,19;1;1,19
"LK Hof";6401;0;157;0;94801;6752,04;3;3,16
"LK Kelheim";5938;2;109;0;123058;4825,37;6;4,88
"LK Kitzingen";3290;1;87;0;91155;3609,24;6;6,58
"LK Kronach";4225;0;96;0;66743;6330,25;2;3
"LK Kulmbach";4087;0;117;0;71566;5710,81;2;2,79
"LK Landsberg a.Lech";4094;0;71;0;120302;3403,1;0;0
"LK Landshut";8016;1;175;0;159895;5013,29;1;0,63
"LK Lichtenfels";3584;-1;84;0;66776;5367,2;16;23,96
"LK Lindau";3448;0;63;0;81981;4205,85;4;4,88
"LK Main-Spessart";4754;2;215;0;126158;3768,29;11;8,72
"LK Miesbach";4585;0;82;0;100010;4584,54;8;8
"LK Miltenberg";5998;0;129;0;128743;4658,89;6;4,66
"LK Mühldorf a.Inn";6969;0;155;0;115872;6014,4;3;2,59
"LK München";15360;2;294;0;350473;4382,65;12;3,42
"LK Neu-Ulm";7757;4;120;0;175204;4427,41;13;7,42
"LK Neuburg-Schrobenhausen";4173;0;80;0;97303;4288,67;4;4,11
"LK Neumarkt i.d.OPf.";6569;2;140;0;134573;4881,37;7;5,2
"LK Neustadt a.d.Aisch-Bad Windsheim";4385;0;107;0;101014;4340,98;1;0,99
"LK Neustadt a.d.Waldnaab";5257;1;188;0;94450;5565,91;6;6,35
"LK Nürnberger Land";7444;3;182;0;170792;4358,52;9;5,27
"LK Oberallgäu";5967;-2;89;0;156008;3824,8;7;4,49
"LK Ostallgäu";7161;0;134;0;141182;5072,18;5;3,54
"LK Passau";12961;0;370;0;192656;6727,54;2;1,04
"LK Pfaffenhofen a.d.Ilm";5646;0;159;0;128227;4403,13;4;3,12
"LK Regen";5531;0;163;0;77410;7145,07;0;0
"LK Regensburg";8292;1;206;0;194070;4272,69;7;3,61
"LK Rhön-Grabfeld";3547;1;89;0;79635;4454,07;2;2,51
"LK Rosenheim";13929;1;462;0;261330;5330,04;18;6,89
"LK Roth";5684;1;174;0;126749;4484,45;1;0,79
"LK Rottal-Inn";7549;0;182;0;121502;6213,07;3;2,47
"LK Schwandorf";8374;4;157;0;147872;5663,01;8;5,41
"LK Schweinfurt";5142;2;138;0;115445;4454,07;7;6,06
"LK Starnberg";5101;0;113;0;136667;3732,43;5;3,66
"LK Straubing-Bogen";5368;1;141;0;101120;5308,54;1;0,99
"LK Tirschenreuth";5315;1;265;0;72046;7377,23;1;1,39
"LK Traunstein";11071;0;216;0;177319;6243,55;14;7,9
"LK Unterallgäu";7285;2;166;1;145341;5012,35;10;6,88
"LK Weilheim-Schongau";5158;4;84;0;135478;3807,26;8;5,91
"LK Weißenburg-Gunzenhausen";3921;0;116;0;94734;4138,96;4;4,22
"LK Wunsiedel i.Fichtelgebirge";5024;0;198;0;72655;6914,87;0;0
"LK Würzburg";4455;5;73;0;162302;2744,88;19;11,71
"SK Amberg";1747;0;24;0;42207;4139,12;0;0
"SK Ansbach";1872;1;45;0;41798;4478,68;6;14,35
"SK Aschaffenburg";3489;3;115;0;71002;4913,95;8;11,27
"SK Augsburg";17971;3;404;0;296582;6059,37;36;12,14
"SK Bamberg";3103;2;108;1;77373;4010,44;5;6,46
"SK Bayreuth";3468;0;109;0;74783;4637,42;0;0
"SK Coburg";2403;0;92;0;41072;5850,7;3;7,3
"SK Erlangen";3999;1;95;0;112528;3553,78;8;7,11
"SK Fürth";7733;3;224;0;128497;6018,04;15;11,67
"SK Hof";3961;0;116;0;45825;8643,75;1;2,18
"SK Ingolstadt";6187;0;114;0;137392;4503,17;5;3,64
"SK Kaufbeuren";2386;0;56;0;44398;5374,12;0;0
"SK Kempten";3278;0;48;0;69151;4740,35;2;2,89
"SK Landshut";4087;4;110;0;73411;5567,29;7;9,54
"SK Memmingen";2253;1;26;0;44100;5108,84;1;2,27
"SK München";73596;31;1260;0;1484226;4958,54;160;10,78
"SK Nürnberg";34662;7;962;2;518370;6686,73;55;10,61
"SK Passau";3399;0;113;0;52803;6437,13;0;0
"SK Regensburg";6993;4;88;0;153094;4567,78;13;8,49
"SK Rosenheim";3935;1;67;0;63551;6191,88;2;3,15
"SK Schwabach";2150;1;105;0;40981;5246,33;2;4,88
"SK Schweinfurt";3162;0;90;0;53426;5918,47;5;9,36
"SK Straubing";2379;0;87;0;47791;4977,92;0;0
"SK Weiden i.d.OPf.";2696;0;98;0;42743;6307,47;1;2,34
"SK Würzburg";4544;2;125;1;127934;3551,83;17;13,29
