"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";465;0;20;0;133596;348,06;14;10,48
"LK Altötting";741;0;55;0;111210;666,31;10;8,99
"LK Amberg-Sulzbach";522;2;54;0;103109;506,26;5;4,85
"LK Ansbach";656;0;28;0;183949;356,62;10;5,44
"LK Aschaffenburg";659;2;42;0;174208;378,28;18;10,33
"LK Augsburg";622;0;11;0;251534;247,28;17;6,76
"LK Bad Kissingen";283;0;18;0;103218;274,18;2;1,94
"LK Bad Tölz-Wolfratshausen";619;0;10;0;127227;486,53;20;15,72
"LK Bamberg";467;1;36;0;147086;317,5;8;5,44
"LK Bayreuth";445;0;28;0;103656;429,3;4;3,86
"LK Berchtesgadener Land";406;0;25;0;105722;384,03;11;10,4
"LK Cham";488;4;21;0;127882;381,6;12;9,38
"LK Coburg";433;1;30;0;86906;498,24;3;3,45
"LK Dachau";1172;4;34;0;153884;761,61;24;15,6
"LK Deggendorf";427;6;15;0;119326;357,84;15;12,57
"LK Dillingen a.d.Donau";360;1;29;0;96021;374,92;9;9,37
"LK Dingolfing-Landau";873;0;10;0;96217;907,32;7;7,28
"LK Donau-Ries";443;0;23;0;133496;331,85;29;21,72
"LK Ebersberg";688;1;5;0;142142;484,02;25;17,59
"LK Eichstätt";405;3;20;0;132341;306,03;13;9,82
"LK Erding";810;0;11;0;137660;588,41;12;8,72
"LK Erlangen-Höchstadt";351;1;11;0;136271;257,57;10;7,34
"LK Forchheim";281;0;4;0;116099;242,03;11;9,47
"LK Freising";1226;8;46;0;179116;684,47;59;32,94
"LK Freyung-Grafenau";214;3;12;0;78355;273,12;9;11,49
"LK Fürstenfeldbruck";1151;0;36;0;219320;524,8;19;8,66
"LK Fürth";561;1;58;0;117387;477,91;16;13,63
"LK Garmisch-Partenkirchen";393;29;18;0;88467;444,23;51;57,65
"LK Günzburg";357;0;4;0;125747;283,9;20;15,9
"LK Haßberge";194;0;6;0;84599;229,32;7;8,27
"LK Hof";519;2;32;0;95311;544,53;12;12,59
"LK Kelheim";635;0;35;0;122258;519,39;21;17,18
"LK Kitzingen";243;0;4;0;90909;267,3;4;4,4
"LK Kronach";182;0;3;0;67135;271,1;2;2,98
"LK Kulmbach";269;0;11;0;71845;374,42;11;15,31
"LK Landsberg a.Lech";459;0;10;0;120071;382,27;21;17,49
"LK Landshut";829;1;31;0;158698;522,38;19;11,97
"LK Lichtenfels";347;0;17;0;66838;519,17;8;11,97
"LK Lindau";285;2;8;0;81669;348,97;11;13,47
"LK Main-Spessart";206;7;6;0;126365;163,02;14;11,08
"LK Miesbach";709;7;11;0;99726;710,95;36;36,1
"LK Miltenberg";393;4;5;0;128756;305,23;21;16,31
"LK Mühldorf a.Inn";624;3;27;0;115250;541,43;17;14,75
"LK München";1856;9;96;0;348871;532;81;23,22
"LK Neu-Ulm";673;6;26;0;174200;386,34;59;33,87
"LK Neuburg-Schrobenhausen";409;1;18;0;96680;423,05;12;12,41
"LK Neumarkt i.d.OPf.";512;0;17;0;133561;383,35;27;20,22
"LK Neustadt a.d.Aisch-Bad Windsheim";278;0;6;0;100364;276,99;1;1
"LK Neustadt a.d.Waldnaab";870;2;73;0;94352;922,08;8;8,48
"LK Nürnberger Land";746;2;44;0;170365;437,88;25;14,67
"LK Oberallgäu";246;0;7;0;155362;158,34;8;5,15
