"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";1760;87;32;1;134655;1307,04;212;157,44
"LK Altötting";1876;35;60;1;111516;1682,27;256;229,56
"LK Amberg-Sulzbach";1332;25;61;1;103049;1292,59;226;219,31
"LK Ansbach";2103;12;46;1;184591;1139,28;201;108,89
"LK Aschaffenburg";2216;46;46;2;174200;1272,1;233;133,75
"LK Augsburg";3701;114;27;2;253468;1460,14;573;226,06
"LK Bad Kissingen";735;24;19;1;103235;711,97;109;105,58
"LK Bad Tölz-Wolfratshausen";1717;39;14;0;127917;1342,28;227;177,46
"LK Bamberg";1487;26;48;0;147163;1010,44;130;88,34
"LK Bayreuth";944;16;29;0;103664;910,63;85;82
"LK Berchtesgadener Land";1885;13;35;0;105929;1779,49;168;158,6
"LK Cham";1617;25;29;1;127998;1263,3;160;125
"LK Coburg";1071;30;36;2;86747;1234,62;177;204,04
"LK Dachau";3017;43;63;0;154899;1947,72;328;211,75
"LK Deggendorf";1365;52;25;3;119478;1142,47;160;133,92
"LK Dillingen a.d.Donau";1216;21;42;0;96562;1259,29;174;180,2
"LK Dingolfing-Landau";1692;32;19;1;96683;1750,05;124;128,25
"LK Donau-Ries";1756;31;36;1;133783;1312,57;182;136,04
"LK Ebersberg";2137;43;18;0;143649;1487,65;272;189,35
"LK Eichstätt";1440;50;28;1;132881;1083,68;259;194,91
"LK Erding";2278;63;18;0;138182;1648,55;279;201,91
"LK Erlangen-Höchstadt";1376;28;19;2;137262;1002,46;198;144,25
"LK Forchheim";1093;25;10;0;116203;940,6;166;142,85
"LK Freising";2862;28;51;1;180007;1589,94;271;150,55
"LK Freyung-Grafenau";1268;51;24;2;78362;1618,13;240;306,27
"LK Fürstenfeldbruck";3768;68;58;1;219311;1718,11;402;183,3
"LK Fürth";1717;33;76;2;117853;1456,9;164;139,16
"LK Garmisch-Partenkirchen";1027;17;22;0;88424;1161,45;81;91,6
"LK Günzburg";2035;62;29;3;127027;1602,02;378;297,57
"LK Haßberge";963;45;12;2;84384;1141,21;237;280,86
"LK Hof";1263;39;36;0;94801;1332,26;209;220,46
"LK Kelheim";1498;26;39;0;123058;1217,31;173;140,58
"LK Kitzingen";866;9;6;0;91155;950,03;84;92,15
"LK Kronach";829;37;12;2;66743;1242,08;192;287,67
"LK Kulmbach";708;11;12;0;71566;989,3;55;76,85
"LK Landsberg a.Lech";1469;58;16;0;120302;1221,09;192;159,6
"LK Landshut";2230;80;46;2;159895;1394,67;326;203,88
"LK Lichtenfels";987;5;26;1;66776;1478,08;67;100,34
"LK Lindau";1048;18;11;0;81981;1278,34;86;104,9
"LK Main-Spessart";1047;44;22;1;126158;829,91;286;226,7
"LK Miesbach";1644;23;11;0;100010;1643,84;186;185,98
"LK Miltenberg";1730;49;26;0;128743;1343,76;240;186,42
"LK Mühldorf a.Inn";2090;48;32;0;115872;1803,71;285;245,96
"LK München";5601;88;110;7;350473;1598,13;612;174,62
"LK Neu-Ulm";2332;79;29;0;175204;1331,02;349;199,2
"LK Neuburg-Schrobenhausen";1280;35;37;0;97303;1315,48;136;139,77
"LK Neumarkt i.d.OPf.";1475;36;49;1;134573;1096,06;166;123,35
"LK Neustadt a.d.Aisch-Bad Windsheim";1075;48;13;3;101014;1064,21;214;211,85
"LK Neustadt a.d.Waldnaab";1749;32;77;0;94450;1851,77;149;157,76
"LK Nürnberger Land";1911;51;52;0;170792;1118,9;243;142,28
"LK Oberallgäu";1608;38;14;0;156008;1030,72;218;139,74
"LK Ostallgäu";1948;41;48;0;141182;1379,78;142;100,58
"LK Passau";3415;158;48;1;192656;1772,59;562;291,71
"LK Pfaffenhofen a.d.Ilm";1683;26;37;0;128227;1312,52;204;159,09
"LK Regen";1020;37;14;0;77410;1317,66;172;222,19
"LK Regensburg";2475;35;25;0;194070;1275,31;344;177,26
"LK Rhön-Grabfeld";835;20;14;0;79635;1048,53;164;205,94
"LK Rosenheim";6087;96;228;0;261330;2329,24;603;230,74
"LK Roth";1314;19;15;0;126749;1036,69;200;157,79
