"Meldewoche";"Altersgruppen.Inz";"Inzidenz";"Anzahl";"NA"
"2020";"21";"Gesamt";5,89;773
"2020";"22";"'05-09";3,25;19
"2020";"22";"'10-14";2,43;14
"2020";"22";"00-04";2,97;19
"2020";"22";"15-19";5,12;32
"2020";"22";"20-34";7,97;200
"2020";"22";"35-59";4,12;191
"2020";"22";"60-79";3,2;87
"2020";"22";"80+";7,34;61
"2020";"22";"Gesamt";4,75;624
"2020";"23";"'05-09";1,54;9
"2020";"23";"'10-14";0,69;4
"2020";"23";"00-04";0,63;4
"2020";"23";"15-19";2,56;16
"2020";"23";"20-34";3,47;87
"2020";"23";"35-59";2,42;112
"2020";"23";"60-79";1,4;38
"2020";"23";"80+";5,29;44
"2020";"23";"Gesamt";2,39;314
"2020";"24";"'05-09";1,54;9
"2020";"24";"'10-14";1,04;6
"2020";"24";"00-04";1,57;10
"2020";"24";"15-19";1,44;9
"2020";"24";"20-34";4,14;104
"2020";"24";"35-59";2,03;94
"2020";"24";"60-79";0,81;22
"2020";"24";"80+";1,8;15
"2020";"24";"Gesamt";2,05;269
"2020";"25";"'05-09";1,2;7
"2020";"25";"'10-14";1,91;11
"2020";"25";"00-04";1,88;12
"2020";"25";"15-19";3,2;20
"2020";"25";"20-34";3,43;86
"2020";"25";"35-59";1,92;89
"2020";"25";"60-79";1,1;30
"2020";"25";"80+";1,56;13
"2020";"25";"Gesamt";2,04;268
"2020";"26";"'05-09";2,57;15
"2020";"26";"'10-14";3,47;20
"2020";"26";"00-04";1,72;11
"2020";"26";"15-19";1,28;8
"2020";"26";"20-34";4,54;114
"2020";"26";"35-59";2,78;129
"2020";"26";"60-79";1,69;46
"2020";"26";"80+";2,53;21
"2020";"26";"Gesamt";2,77;364
"2020";"27";"'05-09";3,59;21
"2020";"27";"'10-14";2,78;16
"2020";"27";"00-04";4,07;26
"2020";"27";"15-19";3,04;19
"2020";"27";"20-34";6,89;173
"2020";"27";"35-59";3,47;161
"2020";"27";"60-79";1,29;35
"2020";"27";"80+";1,08;9
"2020";"27";"Gesamt";3,5;460
"2020";"28";"'05-09";4,45;26
"2020";"28";"'10-14";5,03;29
"2020";"28";"00-04";6,73;43
"2020";"28";"15-19";4,96;31
"2020";"28";"20-34";5,86;147
"2020";"28";"35-59";3,71;172
"2020";"28";"60-79";1,62;44
"2020";"28";"80+";1,32;11
"2020";"28";"Gesamt";3,83;503
"2020";"29";"'05-09";4,28;25
"2020";"29";"'10-14";2,78;16
"2020";"29";"00-04";3,76;24
"2020";"29";"15-19";6,24;39
"2020";"29";"20-34";6,97;175
"2020";"29";"35-59";3,82;177
"2020";"29";"60-79";1,87;51
"2020";"29";"80+";2,16;18
"2020";"29";"Gesamt";4;525
"2020";"30";"'05-09";4,28;25
"2020";"30";"'10-14";5,9;34
"2020";"30";"00-04";4,23;27
"2020";"30";"15-19";5,92;37
"2020";"30";"20-34";9,01;226
"2020";"30";"35-59";6,54;303
"2020";"30";"60-79";1,84;50
"2020";"30";"80+";1,32;11
"2020";"30";"Gesamt";5,44;714
"2020";"31";"'05-09";2,74;16
"2020";"31";"'10-14";4,51;26
"2020";"31";"00-04";3,6;23
"2020";"31";"15-19";5,92;37
"2020";"31";"20-34";8,73;219
"2020";"31";"35-59";6,34;294
"2020";"31";"60-79";1,58;43
"2020";"31";"80+";2,89;24
"2020";"31";"Gesamt";5,2;682
"2020";"32";"'05-09";2,74;16
"2020";"32";"'10-14";3,47;20
"2020";"32";"00-04";3,29;21
"2020";"32";"15-19";7,52;47
"2020";"32";"20-34";11,08;278
"2020";"32";"35-59";5,78;268
"2020";"32";"60-79";1,62;44
"2020";"32";"80+";0,96;8
"2020";"32";"Gesamt";5,36;703
"2020";"33";"'05-09";5,64;33
"2020";"33";"'10-14";8,16;47
"2020";"33";"00-04";5,01;32
"2020";"33";"15-19";18,88;118
"2020";"33";"20-34";21,44;538
"2020";"33";"35-59";8,95;415
"2020";"33";"60-79";2,53;69
"2020";"33";"80+";2,29;19
"2020";"33";"Gesamt";9,68;1271
