"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";636;600;4;1240
"'10-19";1288;1485;4;2777
"20-29";3546;3542;25;7113
"30-39";3100;3139;18;6257
"40-49";3113;3826;9;6948
"50-59";4237;4788;3;9028
"60-69";2517;2157;2;4676
"70-79";2059;1966;2;4027
"80-89";1510;2418;1;3929
"90-99";245;799;2;1046
"100+";2;15;0;17
"Unbekannt";9;6;0;15
"Gesamt";22262;24741;70;47073
