"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";2114;45;38;2;134655;1569,94;251;186,4
"LK Altötting";2198;41;70;0;111516;1971,02;274;245,7
"LK Amberg-Sulzbach";1555;36;70;0;103049;1508,99;190;184,38
"LK Ansbach";2409;24;57;0;184591;1305,05;212;114,85
"LK Aschaffenburg";2564;38;49;1;174200;1471,87;231;132,61
"LK Augsburg";4356;113;34;3;253468;1718,56;545;215,02
"LK Bad Kissingen";864;18;19;0;103235;836,93;112;108,49
"LK Bad Tölz-Wolfratshausen";1915;39;15;0;127917;1497,06;165;128,99
"LK Bamberg";1655;13;53;0;147163;1124,6;133;90,38
"LK Bayreuth";1059;16;31;0;103664;1021,57;99;95,5
"LK Berchtesgadener Land";2085;33;36;0;105929;1968,3;163;153,88
"LK Cham";1813;24;35;2;127998;1416,43;145;113,28
"LK Coburg";1368;38;45;2;86747;1577;249;287,04
"LK Dachau";3434;118;66;1;154899;2216,93;339;218,85
"LK Deggendorf";1585;53;28;1;119478;1326,6;185;154,84
"LK Dillingen a.d.Donau";1391;13;46;1;96562;1440,53;147;152,23
"LK Dingolfing-Landau";1855;17;28;0;96683;1918,64;138;142,73
"LK Donau-Ries";1955;33;40;2;133783;1461,32;166;124,08
"LK Ebersberg";2471;24;28;2;143649;1720,17;287;199,79
"LK Eichstätt";1698;24;31;0;132881;1277,84;208;156,53
"LK Erding";2750;69;24;2;138182;1990,13;391;282,96
"LK Erlangen-Höchstadt";1706;48;27;2;137262;1242,88;261;190,15
"LK Forchheim";1311;43;12;0;116203;1128,2;179;154,04
"LK Freising";3183;38;52;0;180007;1768,26;263;146,11
"LK Freyung-Grafenau";1601;67;29;0;78362;2043,08;277;353,49
"LK Fürstenfeldbruck";4166;42;65;0;219311;1899,59;321;146,37
"LK Fürth";1974;36;87;4;117853;1674,97;200;169,7
"LK Garmisch-Partenkirchen";1181;23;23;0;88424;1335,61;139;157,2
"LK Günzburg";2463;78;34;0;127027;1938,96;314;247,19
"LK Haßberge";1189;42;23;1;84384;1409,03;186;220,42
