"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";685;644;1;1330
"'10-19";1361;1533;1;2895
"20-29";3736;3680;3;7419
"30-39";3280;3229;4;6513
"40-49";3198;3898;1;7097
"50-59";4326;4886;1;9213
"60-69";2558;2209;0;4767
"70-79";2077;1993;1;4071
"80-89";1528;2466;0;3994
"90-99";249;811;1;1061
"100+";0;14;0;14
"Unbekannt";5;3;0;8
"Gesamt";23003;25366;13;48382
