"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";546;7;20;0;134655;405,48;41;30,45
"LK Altötting";758;1;57;0;111516;679,72;3;2,69
"LK Amberg-Sulzbach";560;0;54;0;103049;543,43;8;7,76
"LK Ansbach";732;0;28;0;184591;396,55;21;11,38
"LK Aschaffenburg";748;0;42;0;174200;429,39;32;18,37
"LK Augsburg";815;0;11;0;253468;321,54;39;15,39
"LK Bad Kissingen";298;0;18;0;103235;288,66;3;2,91
"LK Bad Tölz-Wolfratshausen";666;4;10;0;127917;520,65;20;15,64
"LK Bamberg";549;0;38;0;147163;373,06;29;19,71
"LK Bayreuth";464;1;28;0;103664;447,6;7;6,75
"LK Berchtesgadener Land";481;12;25;0;105929;454,08;32;30,21
"LK Cham";570;17;21;0;127998;445,32;47;36,72
"LK Coburg";455;0;30;0;86747;524,51;7;8,07
"LK Dachau";1312;13;35;0;154899;847;44;28,41
"LK Deggendorf";516;1;19;0;119478;431,88;38;31,81
"LK Dillingen a.d.Donau";395;6;29;0;96562;409,06;10;10,36
"LK Dingolfing-Landau";1017;0;10;0;96683;1051,89;25;25,86
"LK Donau-Ries";523;0;26;0;133783;390,93;20;14,95
"LK Ebersberg";848;3;6;0;143649;590,33;65;45,25
"LK Eichstätt";448;8;20;0;132881;337,14;13;9,78
"LK Erding";883;0;11;0;138182;639,01;12;8,68
"LK Erlangen-Höchstadt";416;2;11;0;137262;303,07;22;16,03
"LK Forchheim";321;2;4;0;116203;276,24;18;15,49
"LK Freising";1370;0;47;0;180007;761,08;25;13,89
"LK Freyung-Grafenau";261;0;12;0;78362;333,07;12;15,31
"LK Fürstenfeldbruck";1504;0;36;0;219311;685,78;129;58,82
"LK Fürth";635;12;58;0;117853;538,81;27;22,91
"LK Garmisch-Partenkirchen";442;0;20;0;88424;499,86;6;6,79
"LK Günzburg";452;0;4;0;127027;355,83;27;21,26
"LK Haßberge";247;0;6;0;84384;292,71;14;16,59
"LK Hof";558;3;32;0;94801;588,6;6;6,33
"LK Kelheim";689;2;35;0;123058;559,9;14;11,38
"LK Kitzingen";304;0;4;0;91155;333,5;4;4,39
"LK Kronach";198;1;3;0;66743;296,66;11;16,48
"LK Kulmbach";324;0;11;0;71566;452,73;4;5,59
"LK Landsberg a.Lech";504;0;10;0;120302;418,95;20;16,62
"LK Landshut";900;23;34;0;159895;562,87;37;23,14
"LK Lichtenfels";396;1;17;0;66776;593,03;18;26,96
"LK Lindau";343;3;8;0;81981;418,39;24;29,28
"LK Main-Spessart";264;0;6;0;126158;209,26;16;12,68
"LK Miesbach";797;5;11;0;100010;796,92;34;34
"LK Miltenberg";481;3;6;0;128743;373,61;29;22,53
"LK Mühldorf a.Inn";687;6;27;0;115872;592,9;22;18,99
"LK München";2274;16;96;0;350473;648,84;138;39,38
"LK Neu-Ulm";896;8;26;0;175204;511,4;67;38,24
"LK Neuburg-Schrobenhausen";472;1;18;0;97303;485,08;31;31,86
"LK Neumarkt i.d.OPf.";592;0;17;0;134573;439,91;18;13,38
"LK Neustadt a.d.Aisch-Bad Windsheim";305;0;6;0;101014;301,94;3;2,97
"LK Neustadt a.d.Waldnaab";955;6;73;0;94450;1011,12;32;33,88
"LK Nürnberger Land";814;8;44;0;170792;476,6;20;11,71
"LK Oberallgäu";307;0;7;0;156008;196,78;15;9,61
"LK Ostallgäu";742;8;40;0;141182;525,56;35;24,79
"LK Passau";882;25;31;0;192656;457,81;51;26,47
"LK Pfaffenhofen a.d.Ilm";542;2;22;0;128227;422,69;23;17,94
"LK Regen";304;3;12;0;77410;392,71;59;76,22
"LK Regensburg";800;7;16;0;194070;412,22;39;20,1
"LK Rhön-Grabfeld";315;0;8;0;79635;395,55;12;15,07
"LK Rosenheim";2741;5;199;0;261330;1048,87;97;37,12
"LK Roth";382;0;7;0;126749;301,38;12;9,47
"LK Rottal-Inn";930;0;51;0;121502;765,42;43;35,39
"LK Schwandorf";627;4;20;0;147872;424,02;24;16,23
"LK Schweinfurt";721;0;25;0;115445;624,54;35;30,32
"LK Starnberg";841;0;13;0;136667;615,36;41;30
"LK Straubing-Bogen";642;0;29;0;101120;634,89;9;8,9
"LK Tirschenreuth";1257;6;139;0;72046;1744,72;32;44,42
"LK Traunstein";1510;0;88;0;177319;851,57;39;21,99
"LK Unterallgäu";530;0;17;0;145341;364,66;43;29,59
"LK Weilheim-Schongau";496;0;3;0;135478;366,11;15;11,07
"LK Weißenburg-Gunzenhausen";462;0;25;0;94734;487,68;5;5,28
"LK Wunsiedel i.Fichtelgebirge";798;3;43;0;72655;1098,34;20;27,53
"LK Würzburg";690;1;7;0;162302;425,13;30;18,48
"SK Amberg";150;0;4;0;42207;355,39;17;40,28
"SK Ansbach";200;0;8;0;41798;478,49;1;2,39
"SK Aschaffenburg";208;0;1;0;71002;292,95;16;22,53
"SK Augsburg";1201;23;16;0;296582;404,95;101;34,05
"SK Bamberg";281;0;22;0;77373;363,18;18;23,26
"SK Bayreuth";296;2;11;0;74783;395,81;13;17,38
"SK Coburg";150;0;4;0;41072;365,21;2;4,87
"SK Erlangen";426;10;12;0;112528;378,57;22;19,55
"SK Fürth";644;3;38;0;128497;501,18;19;14,79
"SK Hof";193;1;5;0;45825;421,17;4;8,73
"SK Ingolstadt";871;2;39;0;137392;633,95;53;38,58
"SK Kaufbeuren";213;1;9;0;44398;479,75;12;27,03
"SK Kempten";198;0;10;0;69151;286,33;10;14,46
"SK Landshut";476;5;9;0;73411;648,4;9;12,26
"SK Memmingen";180;0;1;0;44100;408,16;26;58,96
"SK München";12590;52;229;0;1484226;848,25;750;50,53
"SK Nürnberg";2305;0;53;0;518370;444,66;188;36,27
"SK Passau";238;5;18;0;52803;450,73;8;15,15
"SK Regensburg";996;12;10;0;153094;650,58;54;35,27
"SK Rosenheim";777;3;23;0;63551;1222,64;43;67,66
"SK Schwabach";131;0;2;0;40981;319,66;6;14,64
"SK Schweinfurt";276;0;17;0;53426;516,6;22;41,18
"SK Straubing";507;0;48;0;47791;1060,87;4;8,37
"SK Weiden i.d.OPf.";414;2;20;0;42743;968,58;11;25,74
"SK Würzburg";856;3;52;0;127934;669,1;39;30,48
