"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";10323;9548;1;480;20352
"'10-19";19340;18957;3;583;38883
"20-29";33039;30886;6;1151;65082
"30-39";27668;26491;8;1089;55256
"40-49";25773;28465;7;989;55234
"50-59";30955;32094;6;735;63790
"60-69";16334;15226;4;334;31898
"70-79";11238;12076;8;220;23542
"80-89";8884;16346;19;233;25482
"90-99";1746;6098;6;84;7934
"100+";43;147;0;8;198
"Unbekannt";119;127;0;46;292
"Gesamt";185462;196461;68;5952;387943
