"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22383;20729;1;732;43845
"'10-19";35515;34116;5;905;70541
"20-29";56097;51152;4;1479;108732
"30-39";48575;45505;5;1373;95458
"40-49";45389;47662;4;1248;94303
"50-59";52922;51669;6;981;105578
"60-69";26843;25038;2;432;52315
"70-79";16466;17655;2;264;34387
"80-89";11681;20788;12;291;32772
"90-99";2149;7345;2;86;9582
"100+";24;153;0;4;181
"Unbekannt";22;22;0;6;50
"Gesamt";318066;321834;43;7801;647744
