"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";13615;12600;1;575;26791
"'10-19";23571;23162;4;705;47442
"20-29";40297;37451;4;1327;79079
"30-39";34245;32357;8;1216;67826
"40-49";31916;34627;5;1126;67674
"50-59";38324;38931;6;891;78152
"60-69";20087;18680;3;396;39166
"70-79";13376;14332;6;269;27983
"80-89";10338;18605;18;306;29267
"90-99";1968;6775;5;102;8850
"100+";32;141;0;4;177
"Unbekannt";30;30;0;25;85
"Gesamt";227799;237691;60;6942;472492
