"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";2506;2356;0;66;4928
"'10-19";5557;5257;0;102;10916
"20-29";10659;9635;0;200;20494
"30-39";8216;7391;0;142;15749
"40-49";7503;8161;0;122;15786
"50-59";8903;8791;1;96;17791
"60-69";4522;3979;0;35;8536
"70-79";3213;3089;0;24;6326
"80-89";2066;3252;0;18;5336
"90-99";319;1042;0;2;1363
"100+";5;27;0;0;32
"Unbekannt";40;48;0;21;109
"Gesamt";53509;53028;1;828;107366
