"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";578;552;7;1137
"'10-19";1220;1433;9;2662
"20-29";3262;3384;28;6674
"30-39";2926;3006;17;5949
"40-49";2996;3665;9;6670
"50-59";4101;4590;3;8694
"60-69";2414;2072;7;4493
"70-79";1984;1904;3;3891
"80-89";1454;2293;2;3749
"90-99";230;756;2;988
"100+";0;14;0;14
"Unbekannt";6;4;2;12
"Gesamt";21171;23673;89;44933
