"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";21221;19649;2;815;41687
"'10-19";34077;32670;7;975;67729
"20-29";54427;49660;5;1594;105686
"30-39";47153;44093;9;1457;92712
"40-49";44129;46363;7;1341;91840
"50-59";51781;50552;7;1068;103408
"60-69";26320;24552;3;470;51345
"70-79";16251;17397;6;293;33947
"80-89";11580;20536;18;330;32464
"90-99";2127;7258;5;110;9500
"100+";25;155;0;5;185
"Unbekannt";34;34;0;10;78
"Gesamt";309125;312919;69;8468;NA
