"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";752;702;4;1458
"'10-19";1407;1567;3;2977
"20-29";3871;3748;4;7623
"30-39";3378;3285;8;6671
"40-49";3275;3948;1;7224
"50-59";4378;4929;2;9309
"60-69";2575;2223;2;4800
"70-79";2092;2005;1;4098
"80-89";1529;2474;0;4003
"90-99";248;815;1;1064
"100+";0;12;0;12
"Unbekannt";3;3;0;6
"Gesamt";23508;25711;26;49245
