"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";5132;5;99;2;134655;3811,22;22;16,34
"LK Altötting";5995;5;208;0;111516;5375,91;61;54,7
"LK Amberg-Sulzbach";4784;4;157;0;103049;4642,45;20;19,41
"LK Ansbach";8223;21;176;0;184591;4454,71;55;29,8
"LK Aschaffenburg";7923;9;209;0;174200;4548,22;62;35,59
"LK Augsburg";11263;20;220;1;253468;4443,56;96;37,87
"LK Bad Kissingen";3591;7;102;0;103235;3478,47;32;31
"LK Bad Tölz-Wolfratshausen";4992;11;78;0;127917;3902,53;28;21,89
"LK Bamberg";5454;4;140;1;147163;3706,09;51;34,66
"LK Bayreuth";4909;0;159;0;103664;4735,49;12;11,58
"LK Berchtesgadener Land";5874;27;100;0;105929;5545,22;85;80,24
"LK Cham";7097;6;181;0;127998;5544,62;36;28,13
"LK Coburg";4795;31;160;1;86747;5527,57;95;109,51
"LK Dachau";8148;6;140;0;154899;5260,2;26;16,79
"LK Deggendorf";6901;12;150;0;119478;5775,96;57;47,71
"LK Dillingen a.d.Donau";3672;14;111;0;96562;3802,74;85;88,03
"LK Dingolfing-Landau";5697;5;93;0;96683;5892,45;60;62,06
"LK Donau-Ries";5784;11;159;0;133783;4323,42;42;31,39
"LK Ebersberg";6292;14;176;0;143649;4380,12;52;36,2
"LK Eichstätt";4998;17;82;0;132881;3761,26;49;36,88
"LK Erding";6868;1;116;0;138182;4970,26;31;22,43
"LK Erlangen-Höchstadt";5297;4;128;0;137262;3859,04;37;26,96
"LK Forchheim";4696;6;113;0;116203;4041,2;24;20,65
"LK Freising";8057;9;128;0;180007;4475,94;44;24,44
"LK Freyung-Grafenau";4875;3;127;0;78362;6221,13;36;45,94
"LK Fürstenfeldbruck";9592;17;139;2;219311;4373,7;51;23,25
"LK Fürth";5259;9;206;0;117853;4462,34;44;37,33
"LK Garmisch-Partenkirchen";3546;12;87;0;88424;4010,22;33;37,32
"LK Günzburg";6677;35;107;0;127027;5256,36;123;96,83
"LK Haßberge";4010;12;86;0;84384;4752,09;38;45,03
"LK Hof";6305;3;153;0;94801;6650,77;30;31,65
"LK Kelheim";5880;7;106;0;123058;4778,23;44;35,76
