"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";290;0;20;0;133596;217,07;5;3,74
"LK Altötting";591;0;44;2;111210;531,43;2;1,8
"LK Amberg-Sulzbach";472;1;44;0;103109;457,77;11;10,67
"LK Ansbach";581;1;26;0;183949;315,85;13;7,07
"LK Aschaffenburg";511;2;36;0;174208;293,33;8;4,59
"LK Augsburg";375;1;8;0;251534;149,09;6;2,39
"LK Bad Kissingen";246;1;18;0;103218;238,33;12;11,63
"LK Bad Tölz-Wolfratshausen";414;0;10;0;127227;325,4;4;3,14
"LK Bamberg";404;1;34;0;147086;274,67;17;11,56
"LK Bayreuth";414;0;27;0;103656;399,4;10;9,65
"LK Berchtesgadener Land";287;1;21;6;105722;271,47;3;2,84
"LK Cham";415;1;20;0;127882;324,52;2;1,56
"LK Coburg";243;2;12;0;86906;279,61;47;54,08
"LK Dachau";914;4;27;1;153884;593,95;20;13
"LK Deggendorf";300;9;11;0;119326;251,41;17;14,25
"LK Dillingen a.d.Donau";258;0;22;0;96021;268,69;6;6,25
"LK Dingolfing-Landau";202;0;5;0;96217;209,94;5;5,2
"LK Donau-Ries";342;0;23;0;133496;256,19;4;3
"LK Ebersberg";493;3;5;0;142142;346,84;24;16,88
"LK Eichstätt";283;2;17;0;132341;213,84;6;4,53
"LK Erding";611;0;10;0;137660;443,85;5;3,63
"LK Erlangen-Höchstadt";232;22;6;0;136271;170,25;27;19,81
"LK Forchheim";203;1;4;0;116099;174,85;2;1,72
"LK Freising";970;3;40;0;179116;541,55;30;16,75
"LK Freyung-Grafenau";187;0;11;0;78355;238,66;2;2,55
"LK Fürstenfeldbruck";863;0;33;0;219320;393,49;11;5,02
"LK Fürth";485;1;56;0;117387;413,16;5;4,26
"LK Garmisch-Partenkirchen";276;2;15;0;88467;311,98;9;10,17
"LK Günzburg";235;0;4;0;125747;186,88;6;4,77
"LK Haßberge";155;1;5;0;84599;183,22;1;1,18
"LK Hof";423;0;29;0;95311;443,81;9;9,44
"LK Kelheim";438;0;34;0;122258;358,26;4;3,27
"LK Kitzingen";192;-1;3;0;90909;211,2;2;2,2
"LK Kronach";153;1;3;0;67135;227,9;8;11,92
"LK Kulmbach";241;1;11;0;71845;335,44;4;5,57
"LK Landsberg a.Lech";355;2;10;0;120071;295,66;14;11,66
"LK Landshut";660;0;28;0;158698;415,88;4;2,52
"LK Lichtenfels";231;11;5;1;66838;345,61;19;28,43
"LK Lindau";241;0;8;0;81669;295,09;1;1,22
"LK Main-Spessart";150;0;6;0;126365;118,7;3;2,37
"LK Miesbach";555;2;8;0;99726;556,52;13;13,04
"LK Miltenberg";287;2;5;0;128756;222,9;10;7,77
"LK Mühldorf a.Inn";496;0;27;0;115250;430,37;2;1,74
"LK München";1364;10;52;1;348871;390,98;23;6,59
"LK Neu-Ulm";421;0;25;5;174200;241,68;8;4,59
"LK Neuburg-Schrobenhausen";313;6;14;0;96680;323,75;15;15,52
"LK Neumarkt i.d.OPf.";358;0;15;0;133561;268,04;3;2,25
"LK Neustadt a.d.Aisch-Bad Windsheim";241;3;6;1;100364;240,13;19;18,93
"LK Neustadt a.d.Waldnaab";796;1;65;0;94352;843,65;11;11,66
"LK Nürnberger Land";622;0;44;0;170365;365,1;14;8,22
"LK Oberallgäu";173;1;7;0;155362;111,35;1;0,64
"LK Ostallgäu";501;1;34;0;140316;357,05;3;2,14
"LK Passau";552;2;23;0;192043;287,44;11;5,73
"LK Pfaffenhofen a.d.Ilm";354;5;19;1;127151;278,41;11;8,65
