"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";9059;8413;0;415;17887
"'10-19";17090;16534;1;501;34126
"20-29";28760;26628;3;983;56374
"30-39";23811;22750;3;933;47497
"40-49";22281;24543;4;820;47648
"50-59";26782;27539;3;643;54967
"60-69";13900;12963;5;274;27142
"70-79";9495;10252;6;166;19919
"80-89";7245;13254;20;150;20669
"90-99";1432;4861;2;43;6338
"100+";36;124;0;7;167
"Unbekannt";129;144;0;53;326
"Gesamt";160020;168005;47;4988;333060
