"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";881;812;12;1705
"'10-19";1675;1754;5;3434
"20-29";4370;4186;20;8576
"30-39";3680;3576;16;7272
"40-49";3552;4286;17;7855
"50-59";4597;5116;14;9727
"60-69";2660;2295;2;4957
"70-79";2133;2037;1;4171
"80-89";1556;2504;1;4061
"90-99";252;822;0;1074
"100+";0;14;0;14
"Unbekannt";5;5;17;27
"Gesamt";25361;27407;105;52873
