"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22498;20865;1;720;44084
"'10-19";35926;34498;5;892;71321
"20-29";56637;51585;4;1464;109690
"30-39";48898;45762;5;1358;96023
"40-49";45585;47875;4;1236;94700
"50-59";53096;51813;6;969;105884
"60-69";26909;25113;2;426;52450
"70-79";16482;17689;2;258;34431
"80-89";11704;20814;12;290;32820
"90-99";2152;7354;2;85;9593
"100+";22;151;0;4;177
"Unbekannt";22;21;0;6;49
"Gesamt";319931;323540;43;7708;651222
