"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22439;20797;1;721;43958
"'10-19";35682;34284;5;894;70865
"20-29";56358;51364;4;1461;109187
"30-39";48727;45615;5;1362;95709
"40-49";45483;47774;4;1237;94498
"50-59";53004;51746;6;969;105725
"60-69";26872;25079;2;426;52379
"70-79";16477;17673;2;260;34412
"80-89";11692;20796;12;289;32789
"90-99";2151;7351;2;85;9589
"100+";22;151;0;4;177
"Unbekannt";22;21;0;6;49
"Gesamt";318929;322651;43;7714;649337
