"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";571;546;14;1131
"'10-19";1209;1424;12;2645
"20-29";3241;3374;28;6643
"30-39";2906;2999;17;5922
"40-49";2982;3642;10;6634
"50-59";4086;4566;3;8655
"60-69";2407;2065;7;4479
"70-79";1979;1892;3;3874
"80-89";1449;2279;2;3730
"90-99";226;749;2;977
"100+";0;14;0;14
"Unbekannt";5;3;2;10
"Gesamt";21061;23553;100;44714
