"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";1291;40;21;0;134655;958,75;214;158,92
"LK Altötting";1346;73;57;0;111516;1207;313;280,68
"LK Amberg-Sulzbach";890;36;55;0;103049;863,67;185;179,53
"LK Ansbach";1576;79;32;0;184591;853,78;328;177,69
"LK Aschaffenburg";1570;58;45;0;174200;901,26;196;112,51
"LK Augsburg";2586;102;20;0;253468;1020,25;632;249,34
"LK Bad Kissingen";524;18;18;0;103235;507,58;81;78,46
"LK Bad Tölz-Wolfratshausen";1246;54;13;0;127917;974,07;259;202,48
"LK Bamberg";1168;59;40;0;147163;793,68;217;147,46
"LK Bayreuth";777;24;29;0;103664;749,54;77;74,28
"LK Berchtesgadener Land";1538;35;28;0;105929;1451,92;152;143,49
"LK Cham";1240;41;22;0;127998;968,77;225;175,78
"LK Coburg";780;30;31;0;86747;899,17;148;170,61
"LK Dachau";2289;22;41;1;154899;1477,74;306;197,55
"LK Deggendorf";1028;12;21;0;119478;860,41;143;119,69
"LK Dillingen a.d.Donau";873;45;35;4;96562;904,08;181;187,44
"LK Dingolfing-Landau";1401;35;11;0;96683;1449,07;141;145,84
"LK Donau-Ries";1322;25;31;1;133783;988,17;249;186,12
"LK Ebersberg";1620;52;12;0;143649;1127,75;235;163,59
"LK Eichstätt";959;24;23;0;132881;721,7;190;142,99
"LK Erding";1659;41;12;0;138182;1200,59;294;212,76
"LK Erlangen-Höchstadt";869;0;11;0;137262;633,1;163;118,75
"LK Forchheim";774;49;4;0;116203;666,08;173;148,88
"LK Freising";2332;52;49;0;180007;1295,51;351;194,99
"LK Freyung-Grafenau";762;55;17;1;78362;972,41;252;321,58
"LK Fürstenfeldbruck";2979;213;39;1;219311;1358,34;412;187,86
"LK Fürth";1262;30;70;3;117853;1070,83;194;164,61
"LK Garmisch-Partenkirchen";812;18;21;0;88424;918,3;115;130,06
"LK Günzburg";1317;40;12;1;127027;1036,79;204;160,6
"LK Haßberge";565;34;7;1;84384;669,56;120;142,21
"LK Hof";880;30;35;0;94801;928,26;120;126,58
"LK Kelheim";1160;27;36;0;123058;942,64;238;193,4
"LK Kitzingen";697;21;6;0;91155;764,63;103;112,99
"LK Kronach";478;16;4;0;66743;716,18;99;148,33
"LK Kulmbach";623;8;11;0;71566;870,53;35;48,91
"LK Landsberg a.Lech";1119;36;12;0;120302;930,16;186;154,61
"LK Landshut";1644;39;37;0;159895;1028,17;245;153,23
"LK Lichtenfels";821;19;24;0;66776;1229,48;138;206,66
"LK Lindau";817;30;9;0;81981;996,57;157;191,51
"LK Main-Spessart";591;10;8;0;126158;468,46;117;92,74
"LK Miesbach";1316;23;11;0;100010;1315,87;151;150,98
"LK Miltenberg";1227;62;19;0;128743;953,06;218;169,33
"LK Mühldorf a.Inn";1583;58;27;0;115872;1366,16;297;256,32
"LK München";4250;96;98;0;350473;1212,65;547;156,07
"LK Neu-Ulm";1647;20;29;0;175204;940,05;209;119,29
"LK Neuburg-Schrobenhausen";1011;25;27;1;97303;1039,02;135;138,74
"LK Neumarkt i.d.OPf.";1198;75;32;1;134573;890,22;259;192,46
"LK Neustadt a.d.Aisch-Bad Windsheim";655;43;7;0;101014;648,42;179;177,2
"LK Neustadt a.d.Waldnaab";1469;20;75;0;94450;1555,32;121;128,11
"LK Nürnberger Land";1434;32;47;1;170792;839,62;220;128,81
"LK Oberallgäu";1117;127;11;1;156008;715,99;286;183,32
"LK Ostallgäu";1568;34;42;1;141182;1110,62;207;146,62
"LK Passau";2218;89;38;0;192656;1151,27;379;196,72
"LK Pfaffenhofen a.d.Ilm";1216;54;26;0;128227;948,32;234;182,49
"LK Regen";677;18;13;0;77410;874,56;132;170,52
"LK Regensburg";1614;25;18;0;194070;831,66;356;183,44
"LK Rhön-Grabfeld";575;15;11;0;79635;722,04;93;116,78
"LK Rosenheim";4847;123;209;0;261330;1854,74;712;272,45
"LK Roth";894;41;9;0;126749;705,33;187;147,54
"LK Rottal-Inn";2093;37;60;0;121502;1722,61;215;176,95
"LK Schwandorf";1273;50;24;3;147872;860,88;305;206,26
"LK Schweinfurt";1550;34;33;0;115445;1342,63;195;168,91
"LK Starnberg";1457;42;15;0;136667;1066,09;199;145,61
"LK Straubing-Bogen";1066;28;31;2;101120;1054,19;190;187,9
"LK Tirschenreuth";1584;12;142;0;72046;2198,6;132;183,22
"LK Traunstein";2980;90;95;0;177319;1680,59;731;412,25
"LK Unterallgäu";1346;76;32;0;145341;926,1;275;189,21
"LK Weilheim-Schongau";1271;35;12;0;135478;938,16;241;177,89
"LK Weißenburg-Gunzenhausen";839;27;28;0;94734;885,64;140;147,78
"LK Wunsiedel i.Fichtelgebirge";1040;13;47;0;72655;1431,42;88;121,12
"LK Würzburg";1379;37;15;0;162302;849,65;205;126,31
"SK Amberg";283;14;4;0;42207;670,5;60;142,16
"SK Ansbach";397;8;8;0;41798;949,81;55;131,59
"SK Aschaffenburg";497;13;3;1;71002;699,98;67;94,36
"SK Augsburg";4343;138;37;2;296582;1464,35;987;332,79
"SK Bamberg";595;24;24;0;77373;769;78;100,81
"SK Bayreuth";596;15;12;0;74783;796,97;71;94,94
"SK Coburg";275;10;4;0;41072;669,56;47;114,43
