"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";6174;5708;0;264;12146
"'10-19";12195;11545;0;336;24076
"20-29";20974;18959;2;614;40549
"30-39";16940;15549;1;571;33061
"40-49";15721;16719;3;514;32957
"50-59";18552;18365;2;352;37271
"60-69";9402;8603;3;165;18173
"70-79";6307;6438;0;87;12832
"80-89";4350;7550;0;54;11954
"90-99";796;2601;0;16;3413
"100+";17;70;0;4;91
"Unbekannt";79;65;0;134;278
"Gesamt";111507;112172;11;3111;226801
