"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";4859;12;91;0;134655;3608,48;174;129,22
"LK Altötting";5643;19;203;0;111516;5060,26;233;208,94
"LK Amberg-Sulzbach";4603;2;150;0;103049;4466,81;80;77,63
"LK Ansbach";7769;23;165;0;184591;4208,76;303;164,15
"LK Aschaffenburg";7564;17;196;0;174200;4342,14;235;134,9
"LK Augsburg";10542;34;202;0;253468;4159,1;422;166,49
"LK Bad Kissingen";3331;1;94;0;103235;3226,62;146;141,42
"LK Bad Tölz-Wolfratshausen";4706;5;71;0;127917;3678,95;197;154,01
"LK Bamberg";5057;14;134;0;147163;3436,33;222;150,85
"LK Bayreuth";4740;0;155;0;103664;4572,46;106;102,25
"LK Berchtesgadener Land";5562;8;99;0;105929;5250,69;144;135,94
"LK Cham";6757;20;172;3;127998;5278,99;246;192,19
"LK Coburg";4288;45;149;0;86747;4943,11;239;275,51
"LK Dachau";7827;14;135;0;154899;5052,97;212;136,86
"LK Deggendorf";6434;25;143;0;119478;5385,09;268;224,31
"LK Dillingen a.d.Donau";3325;3;107;0;96562;3443,38;109;112,88
"LK Dingolfing-Landau";5237;18;85;0;96683;5416,67;244;252,37
"LK Donau-Ries";5477;21;154;0;133783;4093,94;211;157,72
"LK Ebersberg";5942;7;174;0;143649;4136,47;188;130,87
"LK Eichstätt";4747;14;79;0;132881;3572,37;147;110,63
"LK Erding";6601;14;109;0;138182;4777,03;213;154,14
"LK Erlangen-Höchstadt";5065;13;123;0;137262;3690,02;178;129,68
"LK Forchheim";4490;10;109;0;116203;3863,93;118;101,55
"LK Freising";7892;76;122;0;180007;4384,27;280;155,55
"LK Freyung-Grafenau";4628;7;118;0;78362;5905,92;97;123,78
"LK Fürstenfeldbruck";9192;38;132;0;219311;4191,31;244;111,26
"LK Fürth";4939;6;202;0;117853;4190,81;128;108,61
"LK Garmisch-Partenkirchen";3361;1;87;0;88424;3801;88;99,52
"LK Günzburg";5994;33;103;0;127027;4718,68;262;206,26
"LK Haßberge";3796;5;84;0;84384;4498,48;116;137,47
"LK Hof";6084;17;144;0;94801;6417,65;176;185,65
"LK Kelheim";5429;35;105;0;123058;4411,74;197;160,09
"LK Kitzingen";2963;1;83;0;91155;3250,51;82;89,96
"LK Kronach";3819;1;88;0;66743;5721,95;140;209,76
"LK Kulmbach";3918;1;111;0;71566;5474,67;79;110,39
"LK Landsberg a.Lech";3855;2;64;0;120302;3204,44;77;64,01
"LK Landshut";7399;37;163;0;159895;4627,41;345;215,77
"LK Lichtenfels";3252;6;78;0;66776;4870,01;139;208,16
"LK Lindau";3160;1;62;0;81981;3854,55;54;65,87
"LK Main-Spessart";4422;13;205;0;126158;3505,13;122;96,7
"LK Miesbach";4100;9;76;0;100010;4099,59;128;127,99
"LK Miltenberg";5457;6;121;0;128743;4238,68;215;167
"LK Mühldorf a.Inn";6639;13;142;0;115872;5729,6;247;213,17
"LK München";14523;33;286;0;350473;4143,83;413;117,84
"LK Neu-Ulm";6674;25;111;1;175204;3809,27;341;194,63
"LK Neuburg-Schrobenhausen";3874;8;72;0;97303;3981,38;106;108,94
"LK Neumarkt i.d.OPf.";5935;14;118;0;134573;4410,25;287;213,27
"LK Neustadt a.d.Aisch-Bad Windsheim";4064;15;98;0;101014;4023,2;161;159,38
"LK Neustadt a.d.Waldnaab";5103;1;162;0;94450;5402,86;63;66,7
"LK Nürnberger Land";6814;40;171;0;170792;3989,65;182;106,56
"LK Oberallgäu";5560;1;75;4;156008;3563,92;166;106,4
"LK Ostallgäu";6588;9;121;0;141182;4666,32;219;155,12
"LK Passau";12421;-2;354;0;192656;6447,24;228;118,35
"LK Pfaffenhofen a.d.Ilm";5322;8;155;0;128227;4150,45;164;127,9
"LK Regen";5300;3;160;0;77410;6846,66;59;76,22
"LK Regensburg";7567;15;176;0;194070;3899,11;275;141,7
"LK Rhön-Grabfeld";3240;0;81;0;79635;4068,56;109;136,87
"LK Rosenheim";13074;11;449;1;261330;5002,87;252;96,43
"LK Roth";5384;19;165;0;126749;4247,77;157;123,87
"LK Rottal-Inn";6908;0;165;0;121502;5685,5;294;241,97
"LK Schwandorf";7864;7;151;0;147872;5318,11;168;113,61
"LK Schweinfurt";4604;21;122;-1;115445;3988,05;216;187,1
"LK Starnberg";4845;9;111;0;136667;3545,11;90;65,85
"LK Straubing-Bogen";4998;6;135;0;101120;4942,64;154;152,29
"LK Tirschenreuth";5234;3;262;0;72046;7264,8;51;70,79
"LK Traunstein";10395;26;205;0;177319;5862,32;392;221,07
"LK Unterallgäu";6279;25;131;0;145341;4320,18;294;202,28
"LK Weilheim-Schongau";4599;0;71;0;135478;3394,65;176;129,91
"LK Weißenburg-Gunzenhausen";3627;2;113;0;94734;3828,61;95;100,28
"LK Wunsiedel i.Fichtelgebirge";4911;7;192;0;72655;6759,34;88;121,12
"LK Würzburg";4124;14;68;0;162302;2540,94;107;65,93
"SK Amberg";1661;2;20;0;42207;3935,37;48;113,73
"SK Ansbach";1693;6;44;0;41798;4050,43;53;126,8
"SK Aschaffenburg";3101;9;106;0;71002;4367,48;152;214,08
"SK Augsburg";16408;27;381;0;296582;5532,37;587;197,92
"SK Bamberg";2870;4;100;0;77373;3709,3;60;77,55
"SK Bayreuth";3327;1;104;0;74783;4448,87;85;113,66
"SK Coburg";2092;10;86;0;41072;5093,49;88;214,26
