"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";12156;11241;1;534;23932
"'10-19";21908;21557;4;674;44143
"20-29";37717;35170;4;1269;74160
"30-39";31889;30196;8;1163;63256
"40-49";29738;32560;4;1078;63380
"50-59";35838;36737;6;847;73428
"60-69";18887;17581;3;390;36861
"70-79";12751;13735;6;259;26751
"80-89";10039;18196;18;307;28560
"90-99";1936;6687;5;102;8730
"100+";30;137;0;4;171
"Unbekannt";25;28;0;25;78
"Gesamt";212914;223825;59;6652;443450
